# Calculation Metadata
# N_SC: 1
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.882
# max_sidebands: 20
# timestamp: 2025-10-22 17:03:54
# common_timestamp: 20251022_163817
# disorder_type: none
# calculation: DC_IV_2D
# duration: 1537.0775175094604
# B_points: 21
# B_max: 2.0
# Vbias_points: 501
# outer_parallel_n: 1
Magnetic Field,Bias Voltage (meV),Current (nA),SidebandN
0.0,0.03,0.020586347461471224,20
0.0,0.033,0.02574637338498597,20
0.0,0.036000000000000004,0.03161527219695728,20
0.0,0.039,0.044029873409569306,20
0.0,0.042,0.05584181799555915,20
0.0,0.045000000000000005,0.07681160750202483,20
0.0,0.048,0.10234018951377946,20
0.0,0.051000000000000004,0.1238118154876331,20
0.0,0.054,0.15452843072608058,20
0.0,0.056999999999999995,0.19533028365013558,20
0.0,0.06,0.2439534277326481,20
0.0,0.063,0.2825110580478818,20
0.0,0.066,0.32718717805998737,20
0.0,0.069,0.3699679112681886,20
0.0,0.07200000000000001,0.4189946048275952,20
0.0,0.075,0.49148587542233496,20
0.0,0.078,0.567029216538142,20
0.0,0.081,0.6281032579744715,20
0.0,0.084,0.6891059221629435,20
0.0,0.08700000000000001,0.7713034396952346,20
0.0,0.09000000000000001,0.8536159079475353,20
0.0,0.093,0.9142330680929672,20
0.0,0.096,0.9534887507383655,20
0.0,0.099,1.0024942803978354,20
0.0,0.102,1.0829265243699413,20
0.0,0.105,1.17965694975582,20
0.0,0.108,1.2800859091158732,20
0.0,0.111,1.3755616630396408,20
0.0,0.11399999999999999,1.4537108680419646,20
0.0,0.11699999999999999,1.5121751646511281,20
0.0,0.12,1.5612176539967964,20
0.0,0.123,1.63743261493821,20
0.0,0.126,1.7301847860199493,20
0.0,0.129,1.8348345010372769,20
0.0,0.132,1.9483552697173705,20
0.0,0.135,2.0665437795195647,20
0.0,0.13799999999999998,2.1826600217393928,20
0.0,0.141,2.2865145019568067,20
0.0,0.144,2.3653751902366067,20
0.0,0.147,2.410635020918542,20
0.0,0.15,2.4357945636729945,20
0.0,0.153,2.477092034943176,20
0.0,0.156,2.5320512228384904,20
0.0,0.159,2.596088918514241,20
0.0,0.162,2.66759306401523,20
0.0,0.165,2.745732896122337,20
0.0,0.168,2.8299618397056214,20
0.0,0.171,2.9198091915052817,20
0.0,0.174,3.014749485101258,20
0.0,0.177,3.1140866817447073,20
