# Summary of CPR analysis
# Calculation method: separate
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.842
# max_sidebands: 5
# timestamp: 2025-09-19 11:35:30
# disorder_type: from_file
# disorder_region: all_leads
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# B: 0.0
# calculation: CPR
# sweep_parameter: B
# sweep_min: 0.0
# sweep_max: 2.0
# sweep_points: 101
# outer_parallel: 4
B,Ic_max,Ic_min,phi0_max,phi0_min
0.0,14.769781468072159,-14.768893269837127,1.85,4.410000000000001
0.02,14.763943143136416,-14.764118593253118,1.85,4.450000000000001
0.04,14.771479844930404,-14.768711669007912,1.85,4.410000000000001
0.06,14.768920111456522,-14.775940167527942,1.87,4.450000000000001
0.08,14.773276352396838,-14.773029968470098,1.85,4.450000000000001
0.1,14.775461679115523,-14.778528827417219,1.85,4.4300000000000015
0.12,14.78158405241004,-14.7850219001933,1.83,4.4300000000000015
0.14,14.787720912619614,-14.791024119662213,1.83,4.450000000000001
0.16,14.797935098617199,-14.799515180821732,1.85,4.470000000000001
0.18,14.808815766516313,-14.807838985066057,1.83,4.4300000000000015
0.2,14.812711581240846,-14.814351259870024,1.81,4.450000000000001
0.22,14.82325986092874,-14.831971707783167,1.85,4.450000000000001
0.24,14.838046618387166,-14.843978197870527,1.81,4.450000000000001
0.26,14.870872266978449,-14.871337110726193,1.81,4.470000000000001
0.28,14.964185157111514,-14.964547896388401,1.7300000000000002,4.550000000000001
0.3,15.050235877776311,-15.04926887087945,1.79,4.490000000000001
0.32,15.088088020324244,-15.088690912174226,1.81,4.470000000000001
0.34,15.097255942970373,-15.097579282839009,1.83,4.450000000000001
0.36,15.089564416842814,-15.09075064749763,1.83,4.450000000000001
0.38,15.077976366989036,-15.081888759651944,1.83,4.450000000000001
0.4,15.058492582229238,-15.059493646066084,1.85,4.450000000000001
0.42,15.036065335139584,-15.037461530435305,1.85,4.4300000000000015
0.44,15.007914174107096,-15.00943955790412,1.85,4.4300000000000015
0.46,14.974870966887309,-14.976430413090824,1.85,4.450000000000001
0.48,14.938996131680987,-14.941405082762328,1.83,4.450000000000001
0.5,14.899674668173246,-14.901251905649247,1.85,4.4300000000000015
0.52,14.85517577314408,-14.857332322311251,1.85,4.4300000000000015
0.54,14.808421807591179,-14.810828478635308,1.83,4.450000000000001
0.56,14.758773797005247,-14.761223900421781,1.83,4.450000000000001
0.58,14.706291456017766,-14.708176762975993,1.85,4.450000000000001
0.6,14.651398678911923,-14.653188614736443,1.85,4.4300000000000015
0.62,14.594004908570174,-14.595650950736255,1.85,4.4300000000000015
0.64,14.532804111260537,-14.534367351724441,1.85,4.4300000000000015
0.66,14.47040679273008,-14.471983413641585,1.85,4.4300000000000015
0.68,14.40506938816686,-14.406555972947201,1.85,4.4300000000000015
0.7000000000000001,14.33848662078814,-14.33992993634894,1.85,4.4300000000000015
0.72,14.26955960186475,-14.270959779800972,1.85,4.4300000000000015
0.74,14.199114252623636,-14.200457139046094,1.85,4.4300000000000015
0.76,14.127424607823164,-14.12871921024946,1.85,4.4300000000000015
0.78,14.05455236630453,-14.055807072387497,1.85,4.4300000000000015
0.8,13.980757995467895,-13.981980166905943,1.85,4.4300000000000015
0.8200000000000001,13.906410823619991,-13.907610720737242,1.85,4.4300000000000015
0.84,13.831954267238151,-13.83314630282883,1.85,4.4300000000000015
0.86,13.757950426917125,-13.759153016473443,1.85,4.4300000000000015
0.88,13.685141794888523,-13.686379736062976,1.85,4.4300000000000015
0.9,13.614552342285645,-13.615859101018982,1.85,4.4300000000000015
0.92,13.549099369323915,-13.549732548627935,1.87,4.410000000000001
0.9400000000000001,13.490181648485635,-13.491011914883945,1.87,4.410000000000001
0.96,13.443024401075078,-13.44339146670346,1.8900000000000001,4.390000000000001
0.98,13.418830697424099,-13.419136408564063,1.9100000000000001,4.390000000000001
1.0,13.459172155567607,-13.45972670086606,1.9300000000000002,4.350000000000001
1.02,13.565768147022508,-13.56586814014216,1.9900000000000002,4.290000000000001
1.04,13.650481721556085,-13.650489906033545,2.0300000000000002,4.250000000000001
1.06,13.728844580346626,-13.728628467343984,2.0700000000000003,4.210000000000001
1.08,13.804425047665429,-13.80405336862145,2.1100000000000003,4.190000000000001
1.1,13.879261677258288,-13.879008852655735,2.1300000000000003,4.150000000000001
1.12,13.951927398374542,-13.951754266154914,2.1500000000000004,4.130000000000001
1.1400000000000001,14.02089445303232,-14.019976961112913,2.1900000000000004,4.090000000000002
1.16,14.083012447999756,-14.082699269845238,2.1900000000000004,4.090000000000002
1.18,14.138625770876525,-14.139014370753324,2.2100000000000004,4.070000000000001
1.2,14.18951429049058,-14.188676504472562,2.2500000000000004,4.030000000000001
1.22,14.231623400592346,-14.228846173160369,2.2700000000000005,4.010000000000002
1.24,14.265657432442676,-14.267111115403056,2.2700000000000005,4.010000000000002
1.26,14.299490703914266,-14.298052028943237,2.2900000000000005,3.990000000000001
1.28,14.326634296924732,-14.325744272772084,2.33,3.970000000000001
1.3,14.353870387554325,-14.351588808363495,2.33,3.950000000000001
1.32,14.378235260212527,-14.378899158730198,2.33,3.930000000000001
1.34,14.405338772914588,-14.406097078449237,2.37,3.910000000000001
1.36,14.435545258876699,-14.430106928143362,2.4300000000000006,3.910000000000001
1.3800000000000001,14.465804596519801,-14.459612062900108,2.45,3.850000000000001
