# Calculation Metadata
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.882
# B: 2.0
# Vdis: 0.0
# max_sidebands: 15
# timestamp: 2025-09-19 18:38:10
# common_timestamp: 20250919_173239
# disorder_type: from_file
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# calculation: DC_IV
# duration: 3931.11173081398
# Vbias_points: 300
Bias Voltage (meV),Current (nA),SidebandN
0.003,0.1646687467112563,70
0.011,1.1341862422518445,42
0.019,1.3214613545066565,40
0.027,1.6975914143067503,40
0.029999999999999995,1.8102312419189326,40
0.033,1.9101708974581144,22
0.036,2.0289281948512006,22
0.039,2.188075226865614,22
0.042,2.264393741899188,22
0.045,2.385098925000226,22
0.048,2.5016427953253246,22
0.051,2.5554532600735427,22
0.054,2.684192612850425,22
0.056999999999999995,2.8010682797854733,22
0.06,2.8587790483401574,12
0.063,2.905021146832731,12
0.066,2.979999382140932,12
0.069,3.0811712272723875,12
0.072,3.1753537556719365,12
0.075,3.2470631574754196,12
0.078,3.304118006234299,12
0.081,3.3527268250143147,12
0.084,3.3967346844501067,12
0.08700000000000001,3.4473073899961313,12
0.09,3.508473866260317,12
0.093,3.574395348454112,12
0.096,3.6409782408997704,12
0.09899999999999999,3.703960468170564,12
0.102,3.76029239511489,12
0.105,3.811113769811816,12
0.108,3.85759137022079,12
0.111,3.8988243050440037,12
0.11399999999999999,3.939276138571348,12
0.11699999999999999,3.9770959400140127,12
0.12,4.014177399623542,9
0.123,4.05424974479106,9
0.126,4.094755613486187,9
0.129,4.1356845344345015,9
0.132,4.177191804529524,9
0.13499999999999998,4.219397036750791,9
0.13799999999999998,4.262297657804898,9
0.141,4.305760915090692,9
0.144,4.349510928349602,9
0.147,4.3930764873729915,9
0.15,4.435353520369078,9
0.153,4.474606781176015,9
0.156,4.511633719186762,9
0.159,4.547149404155787,9
0.162,4.581530343602788,9
0.165,4.615014763194076,9
0.168,4.647765798119228,9
0.17099999999999999,4.679946299296444,9
0.174,4.711693125578829,9
0.177,4.743116649399943,9
0.18,4.774323027902951,9
0.183,4.805417388489763,9
0.186,4.8365058109141135,9
0.189,4.867695854357622,9
0.192,4.899099237838368,9
0.195,4.930832428652647,9
0.198,4.963032279886097,9
0.20099999999999998,4.995468034693932,9
0.204,5.027418105983163,9
0.207,5.058783807441107,9
0.21,5.090225578354675,7
0.213,5.120663360000843,7
0.216,5.150711909837641,7
0.219,5.180415313088268,7
0.222,5.209804513073381,7
0.22499999999999998,5.238903531161733,7
0.22799999999999998,5.267753459540017,7
0.23099999999999998,5.296369394328099,7
0.23399999999999999,5.324762308862285,7
0.237,5.352940539903563,7
0.23999999999999996,5.3809096503406675,7
0.24299999999999997,5.4086765054393995,7
0.24599999999999997,5.4362556856527595,7
0.24899999999999997,5.46365791269616,7
0.252,5.490891797392491,7
0.255,5.517964889236485,7
0.258,5.544884329549874,7
0.261,5.571658633390342,7
0.264,5.5982957237595565,7
0.267,5.624800982981115,7
0.27,5.651178434954662,7
0.273,5.6774307849039065,7
0.276,5.703562618280557,7
0.27899999999999997,5.729579724031359,7
0.282,5.755487447317769,7
0.285,5.781290338108797,7
0.288,5.806991722995981,7
0.291,5.832592152477156,7
0.294,5.858085167462086,7
0.297,5.883436343451325,7
0.3,5.907839375021355,5
0.303,5.932710274420566,5
0.306,5.957063258682236,5
0.309,5.9810398218757035,5
0.312,6.004710571944274,5
0.315,6.0281218483143535,5
0.318,6.0513071810613805,5
0.321,6.074291923610286,5
0.324,6.0970963575881525,5
0.327,6.119735691143732,5
0.33,6.142221888046685,5
0.333,6.164563660018265,5
0.336,6.186763523684764,5
0.339,6.208846073652762,5
0.342,6.230820757619479,5
0.34500000000000003,6.252693569465478,5
0.34800000000000003,6.274477144248721,5
0.35100000000000003,6.296186550188773,5
0.35400000000000004,6.317827474364037,5
0.35700000000000004,6.339403850796249,5
0.36000000000000004,6.360919458851848,5
0.37200000000000005,6.446431927646938,5
0.38400000000000006,6.531127422245689,5
0.3960000000000001,6.615027388336065,5
0.40800000000000003,6.698028056562597,5
0.42000000000000004,6.780273781740917,5
0.43200000000000005,6.861960053427216,5
0.44400000000000006,6.9431785151673955,5
0.45600000000000007,7.024020980735846,5
0.46799999999999997,7.104565107176053,5
0.48,7.184900920156667,5
0.492,7.26512547102901,5
0.504,7.3453549245564265,5
0.516,7.4257327677297,5
0.528,7.506808790878922,5
0.54,7.588818188453907,5
0.552,7.671319937652438,5
0.5640000000000001,7.7549186059874415,5
0.5760000000000001,7.840057732798629,5
0.588,7.9268919585964195,5
0.6,8.015388386895186,5
0.612,8.10377803954367,5
0.624,8.19084762153694,5
0.636,8.276506340631903,5
0.648,8.360781688502156,5
0.66,8.443749879946525,5
0.672,8.525434110686813,5
0.684,8.605882424755434,5
0.6960000000000001,8.68512662427035,5
0.7080000000000001,8.763170199947366,5
0.7200000000000001,8.840003174630898,5
0.732,8.91561239198411,5
0.744,8.990026088558725,5
0.756,9.063266446004956,5
0.768,9.135358373354897,5
0.78,9.206227538037085,5
0.7919999999999999,9.275833882646557,5
0.8039999999999999,9.344054070180409,5
0.816,9.410796428964872,5
0.828,9.475774254920353,5
0.84,9.538808216762362,5
0.852,9.599820235735798,5
0.864,9.658721087616877,5
0.876,9.715419369335805,5
0.888,9.769774185801916,5
0.8999999999999999,9.821644567526306,5
