# Single Parameter Sweep Metadata
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.882
# max_sidebands: 5
# timestamp: 2025-09-19 14:30:50
# disorder_type: from_file
# disorder_region: all_leads
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# B: 0.04
# calculation: CPR
# sweep_parameter: B
# sweep_values: [0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.12, 0.14, 0.16, 0.18, 0.2, 0.22, 0.24, 0.26, 0.28, 0.3, 0.32, 0.34, 0.36, 0.38, 0.4, 0.42, 0.44, 0.46, 0.48, 0.5, 0.52, 0.54, 0.56, 0.58, 0.6, 0.62, 0.64, 0.66, 0.68, 0.7000000000000001, 0.72, 0.74, 0.76, 0.78, 0.8, 0.8200000000000001, 0.84, 0.86, 0.88, 0.9, 0.92, 0.9400000000000001, 0.96, 0.98, 1.0, 1.02, 1.04, 1.06, 1.08, 1.1, 1.12, 1.1400000000000001, 1.16, 1.18, 1.2, 1.22, 1.24, 1.26, 1.28, 1.3, 1.32, 1.34, 1.36, 1.3800000000000001, 1.4000000000000001, 1.42, 1.44, 1.46, 1.48, 1.5, 1.52, 1.54, 1.56, 1.58, 1.6, 1.62, 1.6400000000000001, 1.6600000000000001, 1.68, 1.7, 1.72, 1.74, 1.76, 1.78, 1.8, 1.82, 1.84, 1.86, 1.8800000000000001, 1.9000000000000001, 1.92, 1.94, 1.96, 1.98, 2.0]
# outer_parallel: 4
B,Phase (rad),Current (nA)
0.0,0.0,0.0012968351072025755
0.0,0.04807692307692308,0.6461100663715631
0.0,0.09615384615384616,1.2945248211122264
0.0,0.14423076923076925,1.9414140760166414
0.0,0.19230769230769232,2.590775183321022
0.0,0.2403846153846154,3.23629061915373
0.0,0.2884615384615385,3.8748155556133046
0.0,0.33653846153846156,4.5086649065952455
0.0,0.38461538461538464,5.1407337361776815
0.0,0.4326923076923077,5.763587899374961
0.0,0.4807692307692308,6.384048689437414
0.0,0.5288461538461539,7.000769342453608
0.0,0.576923076923077,7.597289885668688
0.0,0.625,8.188513547366389
0.0,0.6730769230769231,8.777298891436084
0.0,0.7211538461538461,9.352114517619407
0.0,0.7692307692307693,9.91440368163541
0.0,0.8173076923076924,10.47915485434675
0.0,0.8653846153846154,11.020775994816448
0.0,0.9134615384615385,11.55512412304917
0.0,0.9615384615384616,12.063476022076177
0.0,1.0096153846153846,12.57492034761887
0.0,1.0576923076923077,13.070785094008926
0.0,1.1057692307692308,13.546049498120446
0.0,1.153846153846154,14.00032986424081
0.0,1.201923076923077,14.442910146186518
0.0,1.25,14.88487003638074
0.0,1.27,15.048017675665433
0.0,1.29,15.209050553046
0.0,1.31,15.374575425804954
0.0,1.33,15.542631666662901
0.0,1.35,15.708064688534586
0.0,1.37,15.866964352798774
0.0,1.3900000000000001,16.01840828909024
0.0,1.4100000000000001,16.162890087279706
0.0,1.4300000000000002,16.30243470618328
0.0,1.4500000000000002,16.438051029995716
0.0,1.4700000000000002,16.57009219521028
0.0,1.4900000000000002,16.698911099297582
0.0,1.5100000000000002,16.82443025888056
0.0,1.53,16.946068521303594
0.0,1.55,17.063696390330616
0.0,1.57,17.177019152162625
0.0,1.59,17.285723943348806
0.0,1.61,17.38989373234402
0.0,1.6300000000000001,17.489487920942754
0.0,1.6500000000000001,17.58428442833525
0.0,1.6700000000000002,17.674507877905317
0.0,1.6900000000000002,17.75963294158088
0.0,1.7100000000000002,17.83986949834859
0.0,1.7300000000000002,17.914883270588778
0.0,1.7500000000000002,17.98459643628745
0.0,1.7700000000000002,18.048578945265486
0.0,1.79,18.10605998773542
0.0,1.81,18.15711361144185
0.0,1.83,18.201006018716676
0.0,1.85,18.237412375633586
0.0,1.87,18.26649382718833
0.0,1.8900000000000001,18.288106204188313
0.0,1.9100000000000001,18.302267050287252
0.0,1.9300000000000002,18.308937588692945
0.0,1.9500000000000002,18.308486208263563
0.0,1.9700000000000002,18.300670791069827
0.0,1.9900000000000002,18.28566435633024
0.0,2.0100000000000002,18.263251670289378
0.0,2.0300000000000002,18.23338886452119
0.0,2.0500000000000003,18.19564672779819
0.0,2.0700000000000003,18.150118191099835
0.0,2.0900000000000003,18.09654074157516
0.0,2.1100000000000003,18.034816090842366
0.0,2.1300000000000003,17.964763622175322
0.0,2.1500000000000004,17.88628460291834
0.0,2.1700000000000004,17.798690997834886
0.0,2.1900000000000004,17.70105798834227
0.0,2.2100000000000004,17.591710675161703
0.0,2.2300000000000004,17.469089799308726
0.0,2.2500000000000004,17.332296763642745
0.0,2.2700000000000005,17.184077493348273
0.0,2.2900000000000005,17.02996423904732
0.0,2.3100000000000005,16.87427775866509
0.0,2.33,16.710856468929524
0.0,2.3500000000000005,16.52532629093142
0.0,2.37,16.31686994997843
0.0,2.3900000000000006,16.108932190112423
0.0,2.41,15.903046085725988
