# Summary of CPR analysis
# Calculation method: separate
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.882
# max_sidebands: 5
# timestamp: 2025-09-03 01:31:32
# disorder_type: none
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 70
# B: 0.0
# calculation: CPR
# sweep_parameter: B
# sweep_min: 0.0
# sweep_max: 2.0
# sweep_points: 101
# outer_parallel: 10
B,Ic_max,Ic_min,phi0_max,phi0_min
0.0,20.105078433673253,-20.094212827512504,1.9100000000000001,4.390000000000001
0.02,20.086597896620226,-20.105598514935775,1.9100000000000001,4.370000000000001
0.04,20.092203896466884,-20.093476615885447,1.8900000000000001,4.370000000000001
0.06,20.098813861602782,-20.09164923521458,1.8900000000000001,4.370000000000001
0.08,20.096367158763695,-20.095590679248943,1.9100000000000001,4.370000000000001
0.1,20.098154847412665,-20.108133373781072,1.8900000000000001,4.370000000000001
0.12,20.096867999408214,-20.110079622816524,1.9100000000000001,4.390000000000001
0.14,20.10713447385597,-20.1132347101788,1.9100000000000001,4.390000000000001
0.16,20.111355896553512,-20.11376325795217,1.8900000000000001,4.390000000000001
0.18,20.1137307718017,-20.115168155658225,1.8900000000000001,4.370000000000001
0.2,20.11731794007025,-20.125130198710746,1.8900000000000001,4.390000000000001
0.22,20.113150722178755,-20.12006246510685,1.8900000000000001,4.390000000000001
0.24,20.12528029266691,-20.119345221446657,1.8900000000000001,4.390000000000001
0.26,20.1145539718595,-20.125367865563984,1.87,4.410000000000001
0.28,20.115259069756966,-20.125350129341925,1.8900000000000001,4.410000000000001
0.3,20.121320246362032,-20.132154394875453,1.8900000000000001,4.410000000000001
0.32,20.145952754351427,-20.15259370720788,1.87,4.4300000000000015
0.34,20.2803384327965,-20.282836522340034,1.79,4.490000000000001
0.36,20.38043536819297,-20.384702125439034,1.83,4.450000000000001
0.38,20.425733655531335,-20.428239789429547,1.85,4.4300000000000015
0.4,20.43392669890921,-20.433806626631895,1.87,4.410000000000001
0.42,20.418136737034555,-20.42065023283888,1.8900000000000001,4.410000000000001
0.44,20.39852339280322,-20.401953016496975,1.8900000000000001,4.390000000000001
0.46,20.363604878013206,-20.3653452080295,1.8900000000000001,4.390000000000001
0.48,20.32790231406175,-20.328788439207443,1.8900000000000001,4.390000000000001
0.5,20.283234098124368,-20.2851965714665,1.8900000000000001,4.390000000000001
0.52,20.232757998166107,-20.23463099346848,1.8900000000000001,4.390000000000001
0.54,20.176376281991267,-20.177735264157107,1.8900000000000001,4.390000000000001
0.56,20.114225902388203,-20.116647202479104,1.8900000000000001,4.390000000000001
0.58,20.052265682427517,-20.054725598058724,1.8900000000000001,4.390000000000001
0.6,19.981137011471073,-19.983328524184586,1.8900000000000001,4.390000000000001
0.62,19.910013445438945,-19.91181530838312,1.8900000000000001,4.390000000000001
0.64,19.832958404052064,-19.835205482558052,1.8900000000000001,4.390000000000001
0.66,19.75139798459347,-19.753673524368324,1.8900000000000001,4.390000000000001
0.68,19.66658678068575,-19.668738503901697,1.8900000000000001,4.390000000000001
0.7000000000000001,19.578564972340626,-19.580576648721227,1.8900000000000001,4.390000000000001
0.72,19.487109472998196,-19.48892851230811,1.8900000000000001,4.390000000000001
0.74,19.39165791362561,-19.393310346695884,1.8900000000000001,4.390000000000001
0.76,19.292891680789765,-19.294555334464388,1.8900000000000001,4.390000000000001
0.78,19.1922831285234,-19.193890874253768,1.8900000000000001,4.390000000000001
0.8,19.087778533940167,-19.08928709972936,1.8900000000000001,4.390000000000001
0.8200000000000001,18.98140125262236,-18.982889695051412,1.8900000000000001,4.390000000000001
0.84,18.871994695566062,-18.873439153045226,1.8900000000000001,4.390000000000001
0.86,18.761016420356913,-18.762448532955272,1.8900000000000001,4.390000000000001
0.88,18.64795390169989,-18.649411215003482,1.8900000000000001,4.390000000000001
0.9,18.53425528147224,-18.534936491320074,1.9100000000000001,4.390000000000001
0.92,18.42052294512201,-18.421156460462303,1.9100000000000001,4.370000000000001
0.9400000000000001,18.307019466148912,-18.30787027119361,1.9100000000000001,4.370000000000001
0.96,18.19617771528838,-18.19641603186698,1.9300000000000002,4.350000000000001
0.98,18.09100997216529,-18.091442837343752,1.9500000000000002,4.350000000000001
1.0,18.003857068780842,-18.004113219743743,1.9700000000000002,4.3100000000000005
1.02,17.959815328052894,-17.95981271267663,2.0100000000000002,4.270000000000001
1.04,17.938174849591785,-17.938058795777813,2.0500000000000003,4.250000000000001
1.06,17.930091695374745,-17.929656337049444,2.0700000000000003,4.210000000000001
1.08,17.930600769224252,-17.930192975743953,2.0900000000000003,4.190000000000001
1.1,17.937697980014224,-17.937262711467216,2.1100000000000003,4.170000000000002
1.12,17.94972613894287,-17.94921034036948,2.1300000000000003,4.150000000000001
1.1400000000000001,17.96496054601519,-17.964323836867102,2.1500000000000004,4.130000000000001
1.16,17.982328093218136,-17.98141022336417,2.1700000000000004,4.110000000000001
1.18,17.997728828493454,-17.99719277126698,2.1700000000000004,4.110000000000001
1.2,18.008185879384822,-18.0075066268782,2.1900000000000004,4.110000000000001
1.22,18.014423783157316,-18.013172862455978,2.1900000000000004,4.090000000000002
1.24,18.009817000676225,-18.00836608276935,2.1900000000000004,4.090000000000002
1.26,17.991978863553246,-17.991012720799098,2.1900000000000004,4.110000000000001
1.28,17.97010608549986,-17.96657229290359,2.1900000000000004,4.110000000000001
1.3,17.937336118244833,-17.93862261769359,2.1900000000000004,4.090000000000002
1.32,17.907269534146998,-17.902836898226468,2.1700000000000004,4.110000000000001
