# Calculation Metadata
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.822
# B: 2.0
# Vdis: 0.1
# max_sidebands: 15
# timestamp: 2025-12-24 02:28:43
# common_timestamp: 20251224_012436
# disorder_type: from_file
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# calculation: DC_IV
# duration: 3846.50119638443
# Vbias_points: 300
Bias Voltage (meV),Current (nA),SidebandN
0.003,0.11524152086698948,70
0.011,0.5568042505638605,42
0.019,0.563191056442581,40
0.027,0.5958555507163059,40
0.029999999999999995,0.6734612021087593,40
0.033,0.6557840019249581,22
0.036,0.6903606298453587,22
0.039,0.9433800326777085,22
0.042,0.7838226842995283,22
0.045,1.0675450026305413,22
0.048,0.8965308736893106,22
0.051,1.1711770233838636,22
0.054,1.2418903129224483,22
0.056999999999999995,1.0851239727066275,22
0.06,1.2723729688052139,12
0.063,1.5676380805792802,12
0.066,1.4297404947977281,12
0.069,1.3725682382811213,12
0.072,1.4085224726910013,12
0.075,1.7131247110462133,12
0.078,1.9494841293828336,12
0.081,1.8865744836128893,12
0.084,1.7334053130002058,12
0.08700000000000001,1.6587046981389275,12
0.09,1.6509538991800967,12
0.093,1.7957913202640323,12
0.096,2.0225882899517544,12
0.09899999999999999,2.1758222275948187,12
0.102,2.2356639224097616,12
0.105,2.2844456345699653,12
0.108,2.337590672351481,12
0.111,2.334352382610033,12
0.11399999999999999,2.2747738823491677,12
0.11699999999999999,2.2517184015763676,12
0.12,2.2510951477645555,9
0.123,2.291153999141435,9
0.126,2.370232762436397,9
0.129,2.4934629244738074,9
0.132,2.5937210070495955,9
0.13499999999999998,2.652541010191947,9
0.13799999999999998,2.7208172135634223,9
0.141,2.7738152197507984,9
0.144,2.804207976905681,9
0.147,2.831840669200249,9
0.15,2.873535138223522,9
0.153,2.9193742818872837,9
0.156,2.968734768399331,9
0.159,3.015985230897207,9
0.162,3.052190253988663,9
0.165,3.0758227101893176,9
0.168,3.089006846783605,9
0.17099999999999999,3.108964733823525,9
0.174,3.146340782813905,9
0.177,3.190179633097967,9
0.18,3.2269946077980682,9
0.183,3.256031403149388,9
0.186,3.286604756388587,9
0.189,3.3191297002076534,9
0.192,3.355895465298042,9
0.195,3.4019912608536984,9
0.198,3.44567576267203,9
0.20099999999999998,3.475465142329437,9
0.204,3.4887886669314847,9
0.207,3.492390733545352,9
0.21,3.494612499629458,7
0.213,3.507357001837826,7
0.216,3.537202850360501,7
0.219,3.5749048930571066,7
0.222,3.6071671602082884,7
0.22499999999999998,3.6278865304346883,7
0.22799999999999998,3.6370508045353542,7
0.23099999999999998,3.638668113623209,7
0.23399999999999999,3.639599502212075,7
0.237,3.6456872405902163,7
0.23999999999999996,3.662254425843597,7
0.24299999999999997,3.6939439391084847,7
0.24599999999999997,3.7396809663887565,7
0.24899999999999997,3.7943549687538765,7
0.252,3.851957121597997,7
0.255,3.9089695878507933,7
0.258,3.964523973493579,7
0.261,4.018754557134592,7
0.264,4.071059460076908,7
0.267,4.1195940393082235,7
0.27,4.162997578989755,7
0.273,4.201421347750335,7
0.276,4.234727899629362,7
0.27899999999999997,4.263347922758794,7
0.282,4.288854381433288,7
0.285,4.311209793873858,7
0.288,4.332973262254262,7
0.291,4.357363516763807,7
0.294,4.384009130147211,7
0.297,4.411992742626405,7
0.3,4.440498530444191,5
0.303,4.4683919592766115,5
0.306,4.492166517300082,5
0.309,4.511312924521559,5
0.312,4.52704795694196,5
0.315,4.541050855955466,5
0.318,4.553651936651816,5
0.321,4.567683550836912,5
0.324,4.585215553675795,5
0.327,4.6067217839675925,5
0.33,4.632114954801174,5
0.333,4.6603312045089265,5
0.336,4.689420425059502,5
0.339,4.717622819533135,5
0.342,4.743945849476158,5
0.34500000000000003,4.767748580142293,5
0.34800000000000003,4.789460070575276,5
0.35100000000000003,4.810122977939597,5
0.35400000000000004,4.8301969539523615,5
0.35700000000000004,4.85003796540489,5
0.36000000000000004,4.870760420246103,5
0.37200000000000005,4.9704275456016305,5
0.38400000000000006,5.0832245688229465,5
0.3960000000000001,5.148867778185122,5
0.40800000000000003,5.212391598248433,5
0.42000000000000004,5.292266979121591,5
0.43200000000000005,5.370744091434593,5
0.44400000000000006,5.434657251674832,5
0.45600000000000007,5.523363435000172,5
0.46799999999999997,5.62868392195286,5
0.48,5.724256400795241,5
0.492,5.8143175780434975,5
0.504,5.900237829988354,5
0.516,5.97715355750787,5
0.528,6.062631522890715,5
0.54,6.143596671459236,5
0.552,6.216728959235653,5
0.5640000000000001,6.3018965937544245,5
0.5760000000000001,6.375271977271079,5
0.588,6.454711197229153,5
0.6,6.549791419128325,5
0.612,6.616309450893902,5
0.624,6.685448060708838,5
0.636,6.747424169645801,5
0.648,6.82306126591041,5
0.66,6.928395119406143,5
0.672,7.022440537869716,5
0.684,7.077503180333501,5
0.6960000000000001,7.13663235662663,5
0.7080000000000001,7.194386560570987,5
0.7200000000000001,7.253846792098914,5
0.732,7.337494606358572,5
0.744,7.442714936337262,5
0.756,7.530611380810208,5
0.768,7.5672693526629065,5
0.78,7.566526208157704,5
0.7919999999999999,7.584628702516895,5
0.8039999999999999,7.615881291308625,5
0.816,7.660919598272233,5
0.828,7.715019310181427,5
0.84,7.785849785230503,5
0.852,7.873222231809848,5
0.864,7.943072378992602,5
0.876,7.981534627345785,5
0.888,8.011051604651538,5
0.8999999999999999,8.027598788641699,5
