# Single Parameter Sweep Metadata
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.822
# max_sidebands: 5
# timestamp: 2025-12-12 16:53:22
# disorder_type: from_file
# disorder_region: all_leads
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# B: 0.06
# calculation: CPR
# sweep_parameter: B
# sweep_values: [0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.12, 0.14, 0.16, 0.18, 0.2, 0.22, 0.24, 0.26, 0.28, 0.3, 0.32, 0.34, 0.36, 0.38, 0.4, 0.42, 0.44, 0.46, 0.48, 0.5, 0.52, 0.54, 0.56, 0.58, 0.6, 0.62, 0.64, 0.66, 0.68, 0.7000000000000001, 0.72, 0.74, 0.76, 0.78, 0.8, 0.8200000000000001, 0.84, 0.86, 0.88, 0.9, 0.92, 0.9400000000000001, 0.96, 0.98, 1.0, 1.02, 1.04, 1.06, 1.08, 1.1, 1.12, 1.1400000000000001, 1.16, 1.18, 1.2, 1.22, 1.24, 1.26, 1.28, 1.3, 1.32, 1.34, 1.36, 1.3800000000000001, 1.4000000000000001, 1.42, 1.44, 1.46, 1.48, 1.5, 1.52, 1.54, 1.56, 1.58, 1.6, 1.62, 1.6400000000000001, 1.6600000000000001, 1.68, 1.7, 1.72, 1.74, 1.76, 1.78, 1.8, 1.82, 1.84, 1.86, 1.8800000000000001, 1.9000000000000001, 1.92, 1.94, 1.96, 1.98, 2.0]
# outer_parallel: 4
B,Phase (rad),Current (nA)
0.0,0.0,-0.008587823696018126
0.0,0.04807692307692308,0.5409914458079372
0.0,0.09615384615384616,1.0908389354802166
0.0,0.14423076923076925,1.6418028604572092
0.0,0.19230769230769232,2.1956036567101975
0.0,0.2403846153846154,2.7487864096985346
0.0,0.2884615384615385,3.293947740289205
0.0,0.33653846153846156,3.833481841438758
0.0,0.38461538461538464,4.372019816354631
0.0,0.4326923076923077,4.910456214385424
0.0,0.4807692307692308,5.4390939128460065
0.0,0.5288461538461539,5.954452361398344
0.0,0.576923076923077,6.468158279464696
0.0,0.625,6.981660023458403
0.0,0.6730769230769231,7.481570114938001
0.0,0.7211538461538461,7.970046193979467
0.0,0.7692307692307693,8.443369268346556
0.0,0.8173076923076924,8.908431936156543
0.0,0.8653846153846154,9.381733170702152
0.0,0.9134615384615385,9.814966318225522
0.0,0.9615384615384616,10.265949430565922
0.0,1.0096153846153846,10.681496858691153
0.0,1.0576923076923077,11.08351377098305
0.0,1.1057692307692308,11.481918239244804
0.0,1.153846153846154,11.865626153224818
0.0,1.201923076923077,12.23032055144025
0.0,1.25,12.574696783324898
0.0,1.27,12.727313742975596
0.0,1.29,12.855903235105394
0.0,1.31,12.97904295089263
0.0,1.33,13.11902751450115
0.0,1.35,13.252661298567975
0.0,1.37,13.36495392654837
0.0,1.3900000000000001,13.476983174564596
0.0,1.4100000000000001,13.602071528053768
0.0,1.4300000000000002,13.7228650153104
0.0,1.4500000000000002,13.824257618536674
0.0,1.4700000000000002,13.918010332890653
0.0,1.4900000000000002,14.020232219773986
0.0,1.5100000000000002,14.127777072204626
