# Single Parameter Sweep Metadata
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.822
# max_sidebands: 5
# timestamp: 2025-12-17 16:17:32
# disorder_type: from_file
# disorder_region: all_leads
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# calculation: CPR
# sweep_parameter: v_tau
# sweep_values: [0.338, 0.822, 0.882, 0.934, 1.0]
# outer_parallel: 4
v_tau,Phase (rad),Current (nA)
0.338,0.0,0.0002042558969646188
0.338,0.04807692307692308,0.03517136743320117
0.338,0.09615384615384616,0.07006065472235115
0.338,0.14423076923076925,0.1047954550414209
0.338,0.19230769230769232,0.1393008642799636
0.338,0.2403846153846154,0.1735039709897953
0.338,0.2884615384615385,0.2073326245274378
0.338,0.33653846153846156,0.24071267598731436
0.338,0.38461538461538464,0.27356309289502245
0.338,0.4326923076923077,0.30579263367103143
0.338,0.4807692307692308,0.33730190301782864
0.338,0.5288461538461539,0.3679955602864374
0.338,0.576923076923077,0.3978050100687227
0.338,0.625,0.42670418139407834
0.338,0.6730769230769231,0.4546977909899043
0.338,0.7211538461538461,0.48177011751502813
0.338,0.7692307692307693,0.5078258162477041
0.338,0.8173076923076924,0.5326909176413865
0.338,0.8653846153846154,0.5562109865199163
0.338,0.9134615384615385,0.5783764410224519
0.338,0.9615384615384616,0.5993127172382988
0.338,1.0096153846153846,0.6190858447717551
0.338,1.0576923076923077,0.6375194238860007
0.338,1.1057692307692308,0.6543018865860193
0.338,1.153846153846154,0.6693326062631121
0.338,1.201923076923077,0.6828622392970215
0.338,1.25,0.695150411638488
0.338,1.27,0.6998775286816693
0.338,1.29,0.7043353911903242
0.338,1.31,0.7084889865947768
0.338,1.33,0.7123098887379099
0.338,1.35,0.7157843110037645
0.338,1.37,0.7189164885843048
0.338,1.3900000000000001,0.7217281901358009
0.338,1.4100000000000001,0.7242505185939041
0.338,1.4300000000000002,0.726514627639761
0.338,1.4500000000000002,0.7285420677529449
0.338,1.4700000000000002,0.7303372322723711
0.338,1.4900000000000002,0.7318869539394647
0.338,1.5100000000000002,0.7331624654750715
0.338,1.53,0.7341297319981814
0.338,1.55,0.7347590450302569
0.338,1.57,0.7350342065211655
0.338,1.59,0.734958837122405
0.338,1.61,0.7345538565532327
0.338,1.6300000000000001,0.7338518706035266
0.338,1.6500000000000001,0.732888535307278
0.338,1.6700000000000002,0.7316898554880154
0.338,1.6900000000000002,0.7302660419183574
0.338,1.7100000000000002,0.7286082384593745
0.338,1.7300000000000002,0.7266913658530294
0.338,1.7500000000000002,0.7244818054669036
0.338,1.7700000000000002,0.72194613394993
0.338,1.79,0.719061572972109
0.338,1.81,0.7158213048238541
0.338,1.83,0.712235876049044
0.338,1.85,0.7083302298736592
0.338,1.87,0.704136090639326
0.338,1.8900000000000001,0.6996841207874008
0.338,1.9100000000000001,0.6949964086256105
0.338,1.9300000000000002,0.6900816755756282
0.338,1.9500000000000002,0.6849349025767799
0.338,1.9700000000000002,0.679540671188678
0.338,1.9900000000000002,0.673877175471851
0.338,2.0100000000000002,0.6679246381969827
0.338,2.0300000000000002,0.6616681304206242
0.338,2.0500000000000003,0.655103380275278
0.338,2.0700000000000003,0.6482364671926336
0.338,2.0900000000000003,0.6410818954829461
0.338,2.1100000000000003,0.6336599832486397
0.338,2.1300000000000003,0.6259907755234435
0.338,2.1500000000000004,0.6180917549398792
0.338,2.1700000000000004,0.6099744488423039
0.338,2.1900000000000004,0.6016429315476312
0.338,2.2100000000000004,0.5930944909168133
0.338,2.2300000000000004,0.5843218709319169
0.338,2.2500000000000004,0.5753152278821339
0.338,2.2700000000000005,0.5660653322811313
0.338,2.2900000000000005,0.5565651935230572
0.338,2.3100000000000005,0.5468124569562547
0.338,2.33,0.5368090827955344
0.338,2.3500000000000005,0.5265615978468519
0.338,2.37,0.5160800555603615
0.338,2.3900000000000006,0.5053759840109353
0.338,2.41,0.4944625542926849
0.338,2.4300000000000006,0.48335156338361046
0.338,2.45,0.4720532407168073
0.338,2.4700000000000006,0.46057641330622323
0.338,2.49,0.4489268335945693
0.338,2.5100000000000007,0.43710922213243125
0.338,2.5300000000000002,0.4251260620331144
0.338,2.5500000000000007,0.41297917192258765
0.338,2.5700000000000003,0.400669663942983
0.338,2.5900000000000007,0.38819936006658046
0.338,2.6100000000000003,0.37556982331364097
0.338,2.630000000000001,0.3627838136084761
0.338,2.6500000000000004,0.3498445311708389
0.338,2.670000000000001,0.33675631601149203
