# Summary of CPR analysis
# Calculation method: separate
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.882
# max_sidebands: 5
# timestamp: 2025-09-08 21:34:17
# disorder_type: from_file
# disorder_region: all_leads
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# B: 0.0
# calculation: CPR
# sweep_parameter: B
# sweep_min: 0.0
# sweep_max: 2.0
# sweep_points: 101
# outer_parallel: 5
B,Ic_max,Ic_min,phi0_max,phi0_min
0.0,20.71754537411669,-20.707243551308025,2.0300000000000002,4.210000000000001
0.02,20.718991166468623,-20.714778473671384,2.0500000000000003,4.250000000000001
0.04,20.70940762175958,-20.713253514726407,2.0700000000000003,4.230000000000001
0.06,20.711564033526294,-20.704432416431008,2.0300000000000002,4.230000000000001
0.08,20.70889423060608,-20.70447075416465,2.0500000000000003,4.250000000000001
0.1,20.712801217777567,-20.711344560313087,2.0500000000000003,4.250000000000001
0.12,20.7175857124409,-20.711962075691225,2.0500000000000003,4.250000000000001
0.14,20.705869620177186,-20.703022866820497,2.0500000000000003,4.250000000000001
0.16,20.713227266517265,-20.702558505951,2.0500000000000003,4.270000000000001
0.18,20.707479889373044,-20.700620975605446,2.0300000000000002,4.270000000000001
0.2,20.699797928134423,-20.69584160234106,2.0300000000000002,4.230000000000001
0.22,20.69965164953014,-20.69444555748434,2.0500000000000003,4.250000000000001
0.24,20.69394573811811,-20.680720003265026,2.0300000000000002,4.250000000000001
0.26,20.68181695254986,-20.683002556887807,2.0300000000000002,4.230000000000001
0.28,20.67448115503379,-20.67294613546927,2.0500000000000003,4.250000000000001
0.3,20.666138224614084,-20.653696029231106,2.0300000000000002,4.230000000000001
0.32,20.659673544904383,-20.64589622304406,2.0500000000000003,4.270000000000001
0.34,20.63704879214857,-20.634115960527502,2.0500000000000003,4.250000000000001
0.36,20.63120285964861,-20.618311865570877,2.0100000000000002,4.250000000000001
0.38,20.619266079458313,-20.605898844360127,2.0300000000000002,4.270000000000001
0.4,20.597891288217497,-20.59531144128238,2.0300000000000002,4.250000000000001
0.42,20.592968590094216,-20.58923028019566,1.9300000000000002,4.350000000000001
0.44,20.67798326792462,-20.67079201550031,1.9700000000000002,4.3100000000000005
0.46,20.732140487187735,-20.721037184323908,1.9700000000000002,4.3100000000000005
0.48,20.761334789928043,-20.756714757367288,1.9900000000000002,4.290000000000001
0.5,20.773869985814418,-20.76584753005326,1.9900000000000002,4.270000000000001
0.52,20.77940574531182,-20.76962592634602,2.0100000000000002,4.290000000000001
0.54,20.76538285884162,-20.76116446456525,2.0300000000000002,4.270000000000001
0.56,20.745934676877177,-20.73844877165538,2.0100000000000002,4.270000000000001
0.58,20.720601403940353,-20.71146157479148,2.0100000000000002,4.270000000000001
0.6,20.68560084145897,-20.676792133839317,2.0300000000000002,4.270000000000001
0.62,20.643290280688312,-20.635367519009204,2.0300000000000002,4.270000000000001
0.64,20.59576140355797,-20.590935763586835,2.0100000000000002,4.270000000000001
0.66,20.545787096314168,-20.53732393862502,2.0300000000000002,4.250000000000001
0.68,20.483702944094055,-20.477329814766325,2.0100000000000002,4.270000000000001
0.7000000000000001,20.418965475403873,-20.412557275176916,2.0300000000000002,4.270000000000001
0.72,20.350232569512148,-20.34365276998911,2.0300000000000002,4.250000000000001
0.74,20.27149801051738,-20.26459264233633,2.0300000000000002,4.250000000000001
0.76,20.183934710128703,-20.1774711938078,2.0300000000000002,4.250000000000001
0.78,20.088234347055177,-20.08087732897226,2.0500000000000003,4.230000000000001
0.8,19.98548362140574,-19.978346675425815,2.0500000000000003,4.230000000000001
0.8200000000000001,19.876391740841093,-19.869414831865424,2.0500000000000003,4.230000000000001
0.84,19.761291408533317,-19.754427681943007,2.0500000000000003,4.230000000000001
