# Summary of CPR analysis
# Calculation method: separate
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.822
# max_sidebands: 5
# timestamp: 2025-12-12 18:48:17
# disorder_type: from_file
# disorder_region: all_leads
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# B: 0.04
# calculation: CPR
# sweep_parameter: B
# sweep_min: 0.0
# sweep_max: 2.0
# sweep_points: 101
# outer_parallel: 4
B,Ic_max,Ic_min,phi0_max,phi0_min
0.0,13.249957035939245,-13.257546004831838,1.81,4.470000000000001
0.02,13.254563172856516,-13.254893741147272,1.81,4.470000000000001
0.04,13.250233959868929,-13.258411370127819,1.81,4.490000000000001
0.06,13.254763662528964,-13.264035419883882,1.81,4.470000000000001
0.08,13.263372535979103,-13.262294391903778,1.79,4.470000000000001
0.1,13.268257654748954,-13.267032165602904,1.79,4.470000000000001
0.12,13.270632551717123,-13.275895163459268,1.81,4.470000000000001
0.14,13.279548830429453,-13.28568272471619,1.79,4.470000000000001
0.16,13.294651924502888,-13.29632446241502,1.79,4.490000000000001
0.18,13.302154088251008,-13.304169556070915,1.7700000000000002,4.470000000000001
0.2,13.322814781162615,-13.324851504292845,1.81,4.490000000000001
0.22,13.342719450343491,-13.345799781670225,1.79,4.490000000000001
0.24,13.396230233252865,-13.394763287519725,1.7100000000000002,4.570000000000001
0.26,13.487958147593845,-13.492694512839494,1.7500000000000002,4.550000000000001
0.28,13.535653347786107,-13.539471934256024,1.7700000000000002,4.510000000000002
0.3,13.554717675810798,-13.556429308526768,1.79,4.490000000000001
0.32,13.556068329692815,-13.559426430320906,1.81,4.490000000000001
0.34,13.553373306640504,-13.557593847493672,1.79,4.490000000000001
0.36,13.542055613774767,-13.543316771064362,1.81,4.470000000000001
0.38,13.527467211376488,-13.530053652115603,1.81,4.470000000000001
0.4,13.50782205293089,-13.510490154673171,1.81,4.470000000000001
0.42,13.483856023858614,-13.485886873800172,1.81,4.470000000000001
0.44,13.455758119940066,-13.458878189668996,1.79,4.490000000000001
0.46,13.42690184034423,-13.429261642639414,1.81,4.470000000000001
0.48,13.393553684392272,-13.39643715133695,1.81,4.470000000000001
0.5,13.356754972016132,-13.359672864799807,1.81,4.470000000000001
0.52,13.317776478564703,-13.320597994817037,1.81,4.470000000000001
0.54,13.276151649746874,-13.278800568614148,1.81,4.470000000000001
0.56,13.231086261214307,-13.233671541020048,1.81,4.470000000000001
0.58,13.1846978387882,-13.187356841863263,1.81,4.470000000000001
0.6,13.135838963620117,-13.13838142764525,1.81,4.470000000000001
0.62,13.085292341906392,-13.087827739139545,1.81,4.470000000000001
0.64,13.032390242487573,-13.03487067708911,1.81,4.470000000000001
0.66,12.978126507239647,-12.980546759296317,1.81,4.470000000000001
0.68,12.922343261462979,-12.924712123068874,1.81,4.470000000000001
0.7000000000000001,12.865058713653234,-12.867375875307081,1.81,4.470000000000001
0.72,12.806460295786081,-12.80872537868758,1.81,4.470000000000001
0.74,12.746734655806694,-12.748949529051396,1.81,4.470000000000001
0.76,12.686070977969099,-12.68823876493775,1.81,4.470000000000001
0.78,12.624690711436955,-12.626816219016929,1.81,4.470000000000001
0.8,12.562868409503157,-12.564957746696248,1.81,4.470000000000001
0.8200000000000001,12.50095059228796,-12.503012110187518,1.81,4.470000000000001
0.84,12.439382959669992,-12.441427615248793,1.81,4.470000000000001
0.86,12.378752988178764,-12.380795508488452,1.81,4.470000000000001
0.88,12.319851798704967,-12.321911844616498,1.81,4.470000000000001
0.9,12.264182997158697,-12.265889581167032,1.83,4.470000000000001
0.92,12.213778413270996,-12.21524853216503,1.83,4.450000000000001
0.9400000000000001,12.170770006514399,-12.172387016150804,1.83,4.450000000000001
0.96,12.14066076526896,-12.14181108163133,1.85,4.4300000000000015
0.98,12.135309365691406,-12.136880464312327,1.85,4.4300000000000015
1.0,12.201794891921232,-12.202945217761501,1.8900000000000001,4.390000000000001
1.02,12.346660311281601,-12.34738742814432,1.9500000000000002,4.330000000000001
1.04,12.460454949143095,-12.461125493484268,1.9900000000000002,4.290000000000001
1.06,12.56074894952335,-12.561227589470672,2.0300000000000002,4.250000000000001
1.08,12.655428389085266,-12.656208526180148,2.0500000000000003,4.230000000000001
1.1,12.745251541181197,-12.745612303237115,2.0900000000000003,4.190000000000001
1.12,12.8316718017764,-12.832012528919824,2.1100000000000003,4.170000000000002
1.1400000000000001,12.913277456130116,-12.91363607728857,2.1500000000000004,4.130000000000001
1.16,12.988680682409537,-12.988748318544536,2.1500000000000004,4.130000000000001
1.18,13.060361008702184,-13.06062908686859,2.1900000000000004,4.090000000000002
1.2,13.123851419880184,-13.124127606894154,2.1900000000000004,4.070000000000001
1.22,13.183963149286468,-13.182560808017582,2.2300000000000004,4.050000000000001
1.24,13.237571702671572,-13.237853232367087,2.2500000000000004,4.030000000000001
1.26,13.286538213263833,-13.283817842982627,2.2500000000000004,4.030000000000001
1.28,13.335537795987449,-13.334531900207846,2.2900000000000005,4.010000000000002
1.3,13.379265063382785,-13.378400921205003,2.2900000000000005,3.950000000000001
1.32,13.425418186836303,-13.422823269279071,2.33,3.950000000000001
1.34,13.469983022628393,-13.467741561774725,2.3500000000000005,3.910000000000001
1.36,13.51482836797435,-13.51189448813089,2.3900000000000006,3.870000000000001
1.3800000000000001,13.560749299488668,-13.56010256691263,2.41,3.850000000000001
1.4000000000000001,13.609465214770115,-13.606430148469768,2.4300000000000006,3.830000000000001
1.42,13.65419672519384,-13.649005654538774,2.4700000000000006,3.830000000000001
1.44,13.709131376201041,-13.706910112336033,2.5100000000000007,3.810000000000001
1.46,13.75986454165916,-13.762200320091027,2.5500000000000007,3.770000000000001
1.48,13.815449105041324,-13.815873221557542,2.5500000000000007,3.750000000000001
1.5,13.870795604088899,-13.868160999487012,2.5700000000000003,3.750000000000001
1.52,13.923990906897103,-13.924388487465317,2.5700000000000003,3.690000000000001
1.54,13.984804447799338,-13.98283909437599,2.6100000000000003,3.690000000000001
1.56,14.041098863497556,-14.04100692060501,2.6500000000000004,3.650000000000001
1.58,14.096605853738556,-14.094974485000327,2.630000000000001,3.6100000000000008
1.6,14.15476844929377,-14.154735632216104,2.670000000000001,3.5900000000000007
1.62,14.21425059247833,-14.212714963789383,2.6900000000000004,3.6100000000000008
1.6400000000000001,14.271240924944946,-14.270049680977852,2.710000000000001,3.5900000000000007
1.6600000000000001,14.32566410082206,-14.327586784783808,2.6900000000000004,3.5700000000000007
1.68,14.38108014608154,-14.381575768164064,2.7700000000000005,3.5500000000000007
1.7,14.441013925456986,-14.438045809664446,2.7500000000000004,3.5100000000000007
1.72,14.492194705549272,-14.49469475791623,2.7300000000000004,3.5300000000000007
1.74,14.548548238894595,-14.547627428887202,2.7700000000000005,3.4900000000000007
1.76,14.600787812252758,-14.602149491631396,2.8100000000000005,3.5100000000000007
1.78,14.656226156686557,-14.653155469035488,2.7900000000000005,3.4700000000000006
1.8,14.7041691008487,-14.70574081995132,2.8300000000000005,3.4900000000000007
1.82,14.75774556661911,-14.751262116949057,2.8100000000000005,3.4900000000000007
1.84,14.806024760863806,-14.805584435821586,2.8100000000000005,3.4500000000000006
1.86,14.850731548699237,-14.854301337416802,2.8500000000000005,3.4700000000000006
1.8800000000000001,14.903675936776887,-14.89788964671459,2.8500000000000005,3.4700000000000006
1.9000000000000001,14.95126928276449,-14.942752436797416,2.8300000000000005,3.4100000000000006
1.92,14.991679960023761,-14.994685222915138,2.8100000000000005,3.4300000000000006
1.94,15.032577993969278,-15.038349326306426,2.8700000000000006,3.4500000000000006
1.96,15.08319645051025,-15.078217891018594,2.8700000000000006,3.4500000000000006
1.98,15.127381393624907,-15.112264409248775,2.8500000000000005,3.4500000000000006
2.0,15.168316754583008,-15.160495759577186,2.8500000000000005,3.4100000000000006
