# Single Parameter Sweep Metadata
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.822
# max_sidebands: 5
# timestamp: 2025-12-16 13:43:10
# disorder_type: from_file
# disorder_region: all_leads
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# calculation: CPR
# sweep_parameter: v_tau
# sweep_values: [0.822, 0.934]
# outer_parallel: 4
v_tau,Phase (rad),Current (nA)
0.822,3.0300000000000007,1.9276819673369652
0.822,3.0500000000000007,1.5830858995257073
0.822,3.0700000000000007,1.2378648934868273
0.822,3.0900000000000007,0.8921136691709178
0.822,3.1100000000000008,0.5455983655465755
0.822,3.130000000000001,0.19845740954072077
0.822,3.150000000000001,-0.1489310676146761
0.822,3.170000000000001,-0.49613634108116667
0.822,3.1900000000000004,-0.8427682633052751
0.822,3.210000000000001,-1.1886278098079108
0.822,3.2300000000000004,-1.5339047566987072
0.822,3.250000000000001,-1.878662566002179
0.822,3.270000000000001,-2.2213330300191862
0.822,3.290000000000001,-2.5597671464868754
0.822,3.310000000000001,-2.8970438032191947
0.822,3.330000000000001,-3.235344624589604
0.822,3.350000000000001,-3.5655799943795805
0.822,3.370000000000001,-3.8953078307072806
0.822,3.3900000000000006,-4.223496883211757
0.822,3.4100000000000006,-4.542916466232734
0.822,3.4300000000000006,-4.865442944737295
0.822,3.4500000000000006,-5.176972238723129
0.822,3.4700000000000006,-5.488834222909675
0.822,3.4900000000000007,-5.796749308741493
0.822,3.5100000000000007,-6.0926179663813205
0.822,3.5300000000000007,-6.393886676097272
0.822,3.5500000000000007,-6.686267388080715
0.822,3.5700000000000007,-6.966609256768756
0.822,3.5900000000000007,-7.246621612642892
0.822,3.6100000000000008,-7.5260375062974525
0.822,3.630000000000001,-7.797983818821503
0.822,3.650000000000001,-8.060371986109224
0.822,3.670000000000001,-8.314913178693084
0.822,3.690000000000001,-8.563569803370324
0.822,3.710000000000001,-8.806740846904898
0.822,3.730000000000001,-9.044450587729534
0.822,3.750000000000001,-9.276269771761939
0.822,3.770000000000001,-9.502323409414746
0.822,3.790000000000001,-9.722723194876469
0.822,3.810000000000001,-9.937610054066766
0.822,3.830000000000001,-10.14632230009557
0.822,3.850000000000001,-10.346679868159518
0.822,3.870000000000001,-10.536244577421696
0.822,3.890000000000001,-10.715451465775317
0.822,3.910000000000001,-10.890596827855557
0.822,3.930000000000001,-11.067563465290878
0.822,3.950000000000001,-11.23952273000328
0.822,3.970000000000001,-11.392917950588084
0.822,3.990000000000001,-11.53619559326555
0.822,4.010000000000002,-11.688210302827175
0.822,4.030000000000001,-11.830975241237237
0.822,4.050000000000001,-11.950534639643568
0.822,4.070000000000001,-12.080210273411799
0.822,4.090000000000002,-12.204125278503872
0.822,4.110000000000001,-12.302542826380948
0.822,4.130000000000001,-12.418303971674845
0.822,4.150000000000001,-12.512295880649852
0.822,4.170000000000002,-12.600047705569436
0.822,4.190000000000001,-12.695566687023973
0.822,4.210000000000001,-12.760757775308955
0.822,4.230000000000001,-12.848034217672653
0.822,4.250000000000001,-12.90078644195686
0.822,4.270000000000001,-12.973309646928087
0.822,4.290000000000001,-13.017188502079799
0.822,4.3100000000000005,-13.074492805885576
0.822,4.330000000000001,-13.108747258761067
0.822,4.350000000000001,-13.152940967673338
0.822,4.370000000000001,-13.175979868752005
0.822,4.390000000000001,-13.209575885962613
0.822,4.410000000000001,-13.21929760828714
0.822,4.4300000000000015,-13.24449482809236
0.822,4.450000000000001,-13.24031553507446
0.822,4.470000000000001,-13.257546004831838
0.822,4.490000000000001,-13.240061880731425
0.822,4.510000000000002,-13.248391037994844
0.822,4.530000000000001,-13.220474112014143
0.822,4.550000000000001,-13.217012002416084
0.822,4.570000000000001,-13.182575559027757
0.822,4.590000000000002,-13.163878483332228
0.822,4.610000000000001,-13.12663963015397
0.822,4.630000000000001,-13.09056965299347
0.822,4.650000000000001,-13.051967103216889
0.822,4.670000000000002,-12.998936754722418
0.822,4.690000000000001,-12.958176053365131
0.822,4.710000000000001,-12.890535294656981
0.822,4.730000000000001,-12.84523741783741
0.822,4.750000000000002,-12.766252618233118
0.822,4.770000000000001,-12.71403291720218
0.822,4.790000000000001,-12.626318473001108
0.822,4.810000000000001,-12.56554194193743
0.822,4.830000000000002,-12.470286007121194
0.822,4.850000000000001,-12.40112544662998
0.822,4.870000000000001,-12.298547865227185
0.822,4.8900000000000015,-12.221850915654597
0.822,4.910000000000002,-12.111424692634987
0.822,4.9300000000000015,-12.027723367056279
0.822,4.950000000000001,-11.910130881512472
0.822,4.9700000000000015,-11.81864073177757
0.822,4.990000000000002,-11.696619718829965
0.822,5.010000000000002,-11.593288294203981
0.822,5.030000000000001,-11.472929548650258
0.822,5.080000000000001,-11.172288112450298
0.822,5.130000000000001,-10.845303850000885
0.822,5.180000000000001,-10.502382591549175
0.822,5.230000000000001,-10.153718956195558
0.822,5.280000000000001,-9.772543562251625
0.822,5.330000000000001,-9.376743134164135
0.822,5.380000000000001,-8.97071652019605
0.822,5.430000000000001,-8.552988006474605
0.822,5.480000000000001,-8.126447274222901
0.822,5.530000000000001,-7.686140256507289
0.822,5.580000000000001,-7.219859690439523
0.822,5.630000000000001,-6.762742389048568
0.822,5.6800000000000015,-6.276635836609001
0.822,5.730000000000001,-5.792301173913652
0.822,5.780000000000001,-5.300052157334348
0.822,5.830000000000001,-4.795920353397676
0.822,5.880000000000001,-4.282123893864442
0.822,5.9300000000000015,-3.7685700830325835
0.822,5.980000000000001,-3.24484306679476
0.822,6.030000000000001,-2.7184526015725563
0.822,6.080000000000001,-2.1829995381046743
0.822,6.130000000000001,-1.6471779639117363
0.822,6.1800000000000015,-1.1108525555589412
0.822,6.230000000000001,-0.5709071305824847
0.822,6.280000000000001,-0.034526906082612524
0.822,6.283185307179586,-0.00033233536271178884
0.934,0.0,0.0035409463875226295
0.934,0.04807692307692308,0.7580065597975522
0.934,0.09615384615384616,1.513221391877719
0.934,0.14423076923076925,2.272253920612847
0.934,0.19230769230769232,3.0307843281307756
0.934,0.2403846153846154,3.7919986230461595
0.934,0.2884615384615385,4.544950004081506
0.934,0.33653846153846156,5.292155588224667
0.934,0.38461538461538464,6.037558328375693
0.934,0.4326923076923077,6.765899264392145
0.934,0.4807692307692308,7.503850475049944
0.934,0.5288461538461539,8.21862975762745
0.934,0.576923076923077,8.932152365167914
0.934,0.625,9.643621859161428
0.934,0.6730769230769231,10.352390561739812
0.934,0.7211538461538461,11.028769108021123
0.934,0.7692307692307693,11.724877434155148
0.934,0.8173076923076924,12.396295257161517
0.934,0.8653846153846154,13.056634613067969
0.934,0.9134615384615385,13.712590893243782
0.934,0.9615384615384616,14.349035917142785
0.934,1.0096153846153846,14.966257688495887
0.934,1.0576923076923077,15.598337919155632
0.934,1.1057692307692308,16.199120879331737
0.934,1.153846153846154,16.778721164301196
0.934,1.201923076923077,17.353073595329725
0.934,1.25,17.916578889963514
0.934,1.27,18.154460985980645
0.934,1.29,18.38991933009325
0.934,1.31,18.61303752490698
0.934,1.33,18.82124748033973
0.934,1.35,19.030576382443265
0.934,1.37,19.256589692273383
0.934,1.3900000000000001,19.4796242244528
