# Single Parameter Sweep Metadata
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.882
# max_sidebands: 5
# timestamp: 2025-10-23 21:30:45
# disorder_type: from_file
# disorder_region: all_leads
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# calculation: SPECTRA
# sweep_parameter: v_tau
# sweep_values: [0.882]
# outer_parallel: 4
v_tau,Magnetic Field,Energy (meV),DOS
0.882,0.0,-0.75,0.007206667274004143
0.882,0.0,-0.7485,0.007774197341658317
0.882,0.0,-0.747,0.008400082948497712
0.882,0.0,-0.7455,0.009089278663025719
0.882,0.0,-0.744,0.009847059826865436
0.882,0.0,-0.7425,0.010679301106451914
0.882,0.0,-0.741,0.011593124594759453
0.882,0.0,-0.7395,0.01259830361090523
0.882,0.0,-0.738,0.013710154951205387
0.882,0.0,-0.7365,0.014955499475185886
0.882,0.0,-0.735,0.016385158580156368
0.882,0.0,-0.7335,0.018101437044854698
0.882,0.0,-0.732,0.020322501905388955
0.882,0.0,-0.7305,0.02354400871823842
0.882,0.0,-0.729,0.028950834845717005
0.882,0.0,-0.7275,0.03910815108126565
0.882,0.0,-0.726,0.054318541532856715
0.882,0.0,-0.7245,0.05549069222502603
0.882,0.0,-0.723,0.042554465782536986
0.882,0.0,-0.7215,0.03400290910250329
0.882,0.0,-0.72,0.029868715040453027
0.882,0.0,-0.7185,0.02784505107684216
0.882,0.0,-0.717,0.026812252911118307
0.882,0.0,-0.7155,0.026285485678300503
0.882,0.0,-0.714,0.026048646719430114
0.882,0.0,-0.7125,0.026004912164946336
0.882,0.0,-0.711,0.02611625520405993
0.882,0.0,-0.7095,0.02637876308924911
0.882,0.0,-0.708,0.026814142247167314
0.882,0.0,-0.7065,0.027471131499552978
0.882,0.0,-0.705,0.028436721336751646
0.882,0.0,-0.7035,0.02986297831087886
0.882,0.0,-0.702,0.032026710908520876
0.882,0.0,-0.7005,0.03546889920420952
0.882,0.0,-0.699,0.04135794749481669
0.882,0.0,-0.6975,0.05259083252581871
0.882,0.0,-0.696,0.07791995460693409
0.882,0.0,-0.6945,0.15265005149438868
0.882,0.0,-0.693,0.45398532067237335
0.882,0.0,-0.6915,0.5013171276701747
0.882,0.0,-0.69,0.16212775342660313
0.882,0.0,-0.6885,0.07854064385373825
0.882,0.0,-0.687,0.05119922995729946
0.882,0.0,-0.6855,0.039212137542206454
0.882,0.0,-0.6839999999999999,0.032832535667711285
0.882,0.0,-0.6825,0.028924282205201123
0.882,0.0,-0.681,0.02624879774344983
0.882,0.0,-0.6795,0.024243494979056174
0.882,0.0,-0.6779999999999999,0.02262697086964926
0.882,0.0,-0.6765,0.021249052548251626
0.882,0.0,-0.675,0.020026395717924566
0.882,0.0,-0.6735,0.01891188821761966
0.882,0.0,-0.672,0.017878920114810917
0.882,0.0,-0.6705,0.016912709712487418
0.882,0.0,-0.669,0.01600530216030492
0.882,0.0,-0.6675,0.015152552280028833
0.882,0.0,-0.666,0.014352321708728197
0.882,0.0,-0.6645,0.013603388577763633
0.882,0.0,-0.663,0.012904818802561197
0.882,0.0,-0.6615,0.012255633634634213
0.882,0.0,-0.66,0.01165465044099884
0.882,0.0,-0.6585,0.011100440489364233
0.882,0.0,-0.657,0.010591348046107795
0.882,0.0,-0.6555,0.010125546773498908
0.882,0.0,-0.654,0.009701097000646072
0.882,0.0,-0.6525,0.009316014512586734
0.882,0.0,-0.651,0.008968325335751398
0.882,0.0,-0.6495,0.008656112116205554
0.882,0.0,-0.648,0.008377573652079652
0.882,0.0,-0.6465,0.008131035387736806
0.882,0.0,-0.645,0.007914987142432947
0.882,0.0,-0.6435,0.00772810728744807
0.882,0.0,-0.642,0.0075692613719911175
0.882,0.0,-0.6405,0.00743753489074308
0.882,0.0,-0.639,0.007332242007503757
0.882,0.0,-0.6375,0.0072529258719572385
0.882,0.0,-0.636,0.0071993942963957305
0.882,0.0,-0.6345,0.007171724472329981
0.882,0.0,-0.633,0.007170286654934484
0.882,0.0,-0.6315,0.007195786816736025
0.882,0.0,-0.63,0.007249293503652065
0.882,0.0,-0.6285000000000001,0.007332289027640969
0.882,0.0,-0.627,0.007446748331502335
0.882,0.0,-0.6255,0.00759520942509019
0.882,0.0,-0.624,0.007780893290653229
0.882,0.0,-0.6225,0.008007850298600003
0.882,0.0,-0.621,0.008281161114140949
0.882,0.0,-0.6194999999999999,0.008607198060828904
0.882,0.0,-0.618,0.008994001031818903
0.882,0.0,-0.6165,0.009451790380867152
0.882,0.0,-0.615,0.00999372687133248
0.882,0.0,-0.6134999999999999,0.010637024631174028
0.882,0.0,-0.612,0.01140468373911737
0.882,0.0,-0.6105,0.012328271523553425
0.882,0.0,-0.609,0.013452512558373634
0.882,0.0,-0.6074999999999999,0.014843171668327977
0.882,0.0,-0.606,0.016600451312180076
0.882,0.0,-0.6045,0.01887960844999271
0.882,0.0,-0.603,0.02190780556213472
0.882,0.0,-0.6015,0.02591446557700105
0.882,0.0,-0.6,0.03069585801604684
0.882,0.0,-0.5985,0.03490772460842874
0.882,0.0,-0.597,0.03740122133033327
0.882,0.0,-0.5955,0.03933668539325678
0.882,0.0,-0.594,0.04211981583456263
0.882,0.0,-0.5925,0.046046008572260315
0.882,0.0,-0.591,0.050825949150740804
0.882,0.0,-0.5895,0.05591015702949501
0.882,0.0,-0.588,0.06053702617977173
0.882,0.0,-0.5865,0.0638188645645349
0.882,0.0,-0.585,0.06499055997061166
0.882,0.0,-0.5835,0.0637298710701951
