# Single Parameter Sweep Metadata
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.822
# max_sidebands: 5
# timestamp: 2025-12-17 15:39:20
# disorder_type: from_file
# disorder_region: all_leads
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# calculation: CPR
# sweep_parameter: v_tau
# sweep_values: [0.338, 0.822, 0.882, 0.934, 1.0]
# outer_parallel: 4
v_tau,Phase (rad),Current (nA)
0.338,0.0,-5.651098483725156e-05
0.338,0.04807692307692308,0.08140800065318488
0.338,0.09615384615384616,0.16280742958350328
0.338,0.14423076923076925,0.2440978905560222
0.338,0.19230769230769232,0.3252686940369064
0.338,0.2403846153846154,0.4063046868274608
0.338,0.2884615384615385,0.48703788783092705
0.338,0.33653846153846156,0.5671416470372062
0.338,0.38461538461538464,0.64663678180466
0.338,0.4326923076923077,0.7261744326917057
0.338,0.4807692307692308,0.8054129346706558
0.338,0.5288461538461539,0.8830788525143789
0.338,0.576923076923077,0.9607699923595975
0.338,0.625,1.0381084693630962
0.338,0.6730769230769231,1.1133928699566025
0.338,0.7211538461538461,1.1896800767742142
0.338,0.7692307692307693,1.2630617652974625
0.338,0.8173076923076924,1.3376843045803857
0.338,0.8653846153846154,1.4090351490797128
0.338,0.9134615384615385,1.4816617797264509
0.338,0.9615384615384616,1.5513514898642917
0.338,1.0096153846153846,1.6204891936325636
0.338,1.0576923076923077,1.6896726282155758
0.338,1.1057692307692308,1.755471423141672
0.338,1.153846153846154,1.820781781862563
0.338,1.201923076923077,1.8862130150855747
0.338,1.25,1.9492197181352438
0.338,1.27,1.9744086526167899
0.338,1.29,1.99894493007477
0.338,1.31,2.025704911542042
0.338,1.33,2.0500849307343145
0.338,1.35,2.073901424425497
0.338,1.37,2.099993758570334
0.338,1.3900000000000001,2.1231937088665536
0.338,1.4100000000000001,2.1466749574991826
0.338,1.4300000000000002,2.171907714006061
0.338,1.4500000000000002,2.1936895839648787
0.338,1.4700000000000002,2.217338198119642
0.338,1.4900000000000002,2.2410169233229156
0.338,1.5100000000000002,2.261783521986008
0.338,1.53,2.2857245310523315
0.338,1.55,2.3069441572149416
0.338,1.57,2.328011738682519
0.338,1.59,2.351004719552945
0.338,1.61,2.370089366067297
0.338,1.6300000000000001,2.392411901047386
0.338,1.6500000000000001,2.412291059532782
0.338,1.6700000000000002,2.431828185982362
0.338,1.6900000000000002,2.453239425553535
0.338,1.7100000000000002,2.4706638008243695
0.338,1.7300000000000002,2.491904349312398
0.338,1.7500000000000002,2.5092738915972226
0.338,1.7700000000000002,2.528498901222065
0.338,1.79,2.547020189699944
0.338,1.81,2.563746253052338
0.338,1.83,2.583145345199562
0.338,1.85,2.5981399797600258
0.338,1.87,2.61731736571576
0.338,1.8900000000000001,2.63173195610469
0.338,1.9100000000000001,2.6496404870601795
0.338,1.9300000000000002,2.66426067264891
0.338,1.9500000000000002,2.6803594327321534
0.338,1.9700000000000002,2.6954325561635506
0.338,1.9900000000000002,2.7096563319345224
0.338,2.0100000000000002,2.7250666875570353
0.338,2.0300000000000002,2.7376361867141585
0.338,2.0500000000000003,2.7530490688620284
0.338,2.0700000000000003,2.764249099466906
0.338,2.0900000000000003,2.7793695707918564
0.338,2.1100000000000003,2.7894476606094645
0.338,2.1300000000000003,2.804001896697457
0.338,2.1500000000000004,2.8131531376203887
0.338,2.1700000000000004,2.8269848955341677
0.338,2.1900000000000004,2.835223091611256
0.338,2.2100000000000004,2.8482495776415524
0.338,2.2300000000000004,2.855636110946202
0.338,2.2500000000000004,2.8678370989811697
0.338,2.2700000000000005,2.874303490101724
0.338,2.2900000000000005,2.8856196138137533
0.338,2.3100000000000005,2.891133103934519
0.338,2.33,2.9014904323251867
0.338,2.3500000000000005,2.9060496945802496
0.338,2.37,2.9153436748266386
0.338,2.3900000000000006,2.918986993180109
0.338,2.41,2.927022575287691
0.338,2.4300000000000006,2.9298480751707636
0.338,2.45,2.9362952874546844
0.338,2.4700000000000006,2.938447667531611
0.338,2.49,2.9430034541344705
0.338,2.5100000000000007,2.9445783130991914
0.338,2.5300000000000002,2.946779260590985
0.338,2.5500000000000007,2.947911687641324
0.338,2.5700000000000003,2.9474014331240785
0.338,2.5900000000000007,2.9478670096349258
0.338,2.6100000000000003,2.944316249180394
