# Calculation Metadata
# N_SC: 1
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.842
# max_sidebands: 20
# timestamp: 2025-10-22 19:09:03
# common_timestamp: 20251022_184223
# disorder_type: none
# calculation: DC_IV_2D
# duration: 1600.02290558815
# B_points: 21
# B_max: 2.0
# Vbias_points: 501
# outer_parallel_n: 1
Magnetic Field,Bias Voltage (meV),Current (nA),SidebandN
0.0,0.189,1.8608165822714717,20
0.0,0.192,1.949927187935324,20
0.0,0.195,2.027117084385955,20
0.0,0.198,2.0779661717099804,20
0.0,0.201,2.0963152649967873,20
0.0,0.204,2.1130370974225277,20
0.0,0.207,2.1345711603897204,20
0.0,0.21,2.1596937357345185,20
0.0,0.213,2.187769323868186,20
0.0,0.216,2.2184413616431717,20
0.0,0.219,2.251499211119898,20
0.0,0.222,2.2868184238971407,20
0.0,0.22499999999999998,2.324330316403846,20
0.0,0.22799999999999998,2.364004914173233,20
0.0,0.23099999999999998,2.4058410663604413,20
0.0,0.23399999999999999,2.4498598010126034,20
0.0,0.237,2.4961000910858253,20
0.0,0.24,2.544615852216785,20
0.0,0.24299999999999997,2.5954739034514103,20
0.0,0.24599999999999997,2.6487522707549704,20
0.0,0.24899999999999997,2.7045383205102183,20
0.0,0.252,2.762927184049631,20
0.0,0.255,2.8240198072050315,20
0.0,0.258,2.8879206209932526,20
0.0,0.261,2.954733480601158,20
0.0,0.264,3.0245579088492076,20
0.0,0.267,3.097478825892192,20
0.0,0.27,3.1735568583113256,20
0.0,0.273,3.2528124467262507,20
0.0,0.276,3.3352014326053,20
0.0,0.279,3.4205780882136048,20
0.0,0.282,3.508638919497722,20
0.0,0.285,3.5988375389611766,20
0.0,0.288,3.6902461222799783,20
0.0,0.291,3.781341655959795,20
0.0,0.294,3.869653050502173,20
0.0,0.297,3.951203398118901,20
0.0,0.3,4.019961398952871,20
0.0,0.303,4.073869942338076,20
0.0,0.306,4.120011650842863,20
0.0,0.309,4.161967131986988,20
0.0,0.312,4.201292819188436,20
0.0,0.315,4.2388435383051775,20
0.0,0.318,4.275149138990264,20
0.0,0.321,4.310559149658299,20
0.0,0.324,4.345318258030862,20
0.0,0.327,4.379603034095178,20
0.0,0.33,4.4135369892948475,20
0.0,0.333,4.447217524609448,20
0.0,0.336,4.480718399010025,20
0.0,0.339,4.51409761684137,20
0.0,0.342,4.54740280302227,20
0.0,0.34500000000000003,4.58067263476936,20
0.0,0.34800000000000003,4.613938687157106,20
0.0,0.35100000000000003,4.647227146041204,20
0.0,0.35400000000000004,4.680559899816966,20
0.0,0.35700000000000004,4.713955049860815,20
0.0,0.36000000000000004,4.747427714630476,20
0.0,0.36300000000000004,4.780992546532285,20
0.0,0.36600000000000005,4.814664111236269,20
0.0,0.36900000000000005,4.8484498396153075,20
0.0,0.37200000000000005,4.882357270716321,20
0.0,0.37500000000000006,4.916402262981716,20
0.0,0.378,4.95058325082369,20
0.0,0.381,4.9849172377837965,20
0.0,0.384,5.019402005253272,20
0.0,0.387,5.054056553055499,20
0.0,0.39,5.088879042257285,20
0.0,0.393,5.123894835747198,20
0.0,0.396,5.159099276703307,20
0.0,0.399,5.1944793884585,20
0.0,0.402,5.2300427370364835,20
0.0,0.405,5.265791864361919,20
0.0,0.40800000000000003,5.301733394177139,20
0.0,0.41100000000000003,5.337859234370461,20
0.0,0.41400000000000003,5.374180150951031,20
0.0,0.41700000000000004,5.4106959007678475,20
0.0,0.42000000000000004,5.447411515540708,20
0.0,0.42300000000000004,5.484329902964219,20
0.0,0.42600000000000005,5.5214591774460855,20
0.0,0.42900000000000005,5.5587868303027355,20
0.0,0.43200000000000005,5.5963347548652855,20
0.0,0.43500000000000005,5.63408975381059,20
0.0,0.43800000000000006,5.67205972473955,20
0.0,0.44100000000000006,5.7102544809119005,20
0.0,0.44400000000000006,5.748662132969006,20
0.0,0.44700000000000006,5.787292032483872,20
0.0,0.45000000000000007,5.826152501886554,20
0.0,0.45299999999999996,5.86524452195118,20
0.0,0.45599999999999996,5.904557321982912,20
0.0,0.45899999999999996,5.944092718433231,20
0.0,0.46199999999999997,5.983871403827677,20
0.0,0.46499999999999997,6.023882813123229,20
0.0,0.46799999999999997,6.064116034321542,20
0.0,0.471,6.1045858075794746,20
0.0,0.474,6.145278178024211,20
0.0,0.477,6.186207389554749,20
0.0,0.48,6.227373325986555,20
0.0,0.492,6.394332346963019,20
0.0,0.504,6.5653522257870955,20
0.0,0.516,6.740098423864224,20
0.0,0.528,6.917010691064677,20
0.0,0.54,7.096475171019522,20
0.0,0.552,7.27982117038116,20
0.0,0.5640000000000001,7.466914896779029,20
0.0,0.5760000000000001,7.656837239671137,20
0.0,0.5880000000000001,7.847931585758272,20
0.0,0.6,8.036326279312863,20
0.0,0.612,8.208903286006514,20
0.0,0.624,8.362692959619869,20
0.0,0.636,8.503437960512022,20
0.0,0.648,8.634673484121747,20
0.0,0.66,8.758468227979298,20
0.0,0.672,8.876262574757193,20
0.0,0.684,8.989025640491926,20
0.0,0.6960000000000001,9.097363584486107,20
0.0,0.7080000000000001,9.201702184629639,20
0.0,0.7200000000000001,9.302355808612582,20
0.0,0.7320000000000001,9.399557047259009,20
0.0,0.744,9.493244098488123,20
0.0,0.756,9.583441276291795,20
0.0,0.768,9.67021137638278,20
0.0,0.78,9.753170413867606,20
0.0,0.792,9.832205812016273,20
0.0,0.804,9.907847976288872,20
0.0,0.8160000000000001,9.980120708205686,20
0.0,0.8280000000000001,10.04901346581271,20
0.0,0.84,10.114501889030015,20
0.0,0.852,10.176437723604996,20
0.0,0.864,10.234554493559017,20
0.0,0.876,10.288477959094822,20
0.0,0.888,10.337651258666314,20
0.0,0.8999999999999999,10.38132295085568,20
0.1,0.03,0.01056313155709496,20
0.1,0.033,0.010256348174981379,20
0.1,0.036000000000000004,0.0103083527565544,20
0.1,0.039,0.010665971248576126,20
0.1,0.042,0.01173623083431407,20
0.1,0.045000000000000005,0.013317922915012697,20
0.1,0.048,0.016225283943583687,20
0.1,0.051000000000000004,0.019853195512568016,20
0.1,0.054,0.023708947126289338,20
0.1,0.056999999999999995,0.030057899792134152,20
0.1,0.06,0.03992117784198446,20
0.1,0.063,0.05052087823062821,20
0.1,0.066,0.06039032810120768,20
0.1,0.069,0.07223662090065276,20
0.1,0.07200000000000001,0.08502715217019348,20
0.1,0.075,0.10175862045480735,20
0.1,0.078,0.12371940201222359,20
0.1,0.081,0.14507671947550174,20
0.1,0.084,0.1657893292758736,20
0.1,0.08700000000000001,0.19096532005720285,20
0.1,0.09000000000000001,0.22172506717530063,20
0.1,0.093,0.25536239924906895,20
0.1,0.096,0.2872310125925038,20
0.1,0.099,0.31257056596738275,20
0.1,0.102,0.3397962393215481,20
0.1,0.105,0.3758323984831246,20
0.1,0.108,0.4210468635051337,20
0.1,0.111,0.4680130939701454,20
0.1,0.11399999999999999,0.5052563290318823,20
0.1,0.11699999999999999,0.5359841923534935,20
0.1,0.12,0.5618342349736729,20
0.1,0.123,0.5951562275998877,20
0.1,0.126,0.6381327148688275,20
0.1,0.129,0.6899469013500589,20
0.1,0.132,0.7484869342550351,20
0.1,0.135,0.8091852575072221,20
0.1,0.13799999999999998,0.8683165434104833,20
0.1,0.141,0.9268701073506636,20
0.1,0.144,0.9825160689818054,20
0.1,0.147,1.0360963734597877,20
0.1,0.15,1.0817059699116136,20
0.1,0.153,1.1184198230806885,20
0.1,0.156,1.1520191900242993,20
0.1,0.159,1.185740426668401,20
0.1,0.162,1.225602453045283,20
0.1,0.165,1.2720251015023052,20
0.1,0.168,1.3252422528285221,20
0.1,0.171,1.3848174114895415,20
0.1,0.174,1.450379717196407,20
0.1,0.177,1.5213943167501132,20
0.1,0.18,1.5965499574223356,20
0.1,0.183,1.6736221318709525,20
0.1,0.186,1.7512641081610978,20
0.1,0.189,1.8262808838181832,20
0.1,0.192,1.8930741866551046,20
0.1,0.195,1.9521468215192725,20
0.1,0.198,2.0039684483498226,20
0.1,0.201,2.046458752812023,20
0.1,0.204,2.0823243531634645,20
0.1,0.207,2.1152453085007017,20
0.1,0.21,2.1461754362459016,20
0.1,0.213,2.176882076896197,20
0.1,0.216,2.209029573902147,20
0.1,0.219,2.242872083226543,20
0.1,0.222,2.2786636571032512,20
0.1,0.22499999999999998,2.316644673799173,20
0.1,0.22799999999999998,2.3567962261127637,20
0.1,0.23099999999999998,2.3991092495189865,20
0.1,0.23399999999999999,2.4435997848212545,20
0.1,0.237,2.4903025938718155,20
0.1,0.24,2.5392668619494603,20
0.1,0.24299999999999997,2.5905530265675796,20
0.1,0.24599999999999997,2.6442300848758222,20
0.1,0.24899999999999997,2.7003725463476234,20
0.1,0.252,2.759057133549831,20
0.1,0.255,2.8203581943687643,20
0.1,0.258,2.884341241608684,20
0.1,0.261,2.951052687308697,20
0.1,0.264,3.0205034916753744,20
0.1,0.267,3.092637644616746,20
0.1,0.27,3.1672503401484406,20
0.1,0.273,3.2438252197481274,20
0.1,0.276,3.322005300873249,20
0.1,0.279,3.4015264525360176,20
0.1,0.282,3.481867228018431,20
0.1,0.285,3.5619272013849868,20
0.1,0.288,3.639674056395001,20
0.1,0.291,3.71445485503594,20
0.1,0.294,3.7862142587487724,20
0.1,0.297,3.8545300444127837,20
0.1,0.3,3.91843904528709,20
0.1,0.303,3.9768122296214834,20
0.1,0.306,4.030524033028597,20
0.1,0.309,4.0804621434631345,20
0.1,0.312,4.127080381496774,20
0.1,0.315,4.1706107869065425,20
0.1,0.318,4.211528557274055,20
0.1,0.321,4.250725217189231,20
0.1,0.324,4.288676961991479,20
0.1,0.327,4.325657127597881,20
0.1,0.33,4.361847293929046,20
0.1,0.333,4.397414379643431,20
0.1,0.336,4.432548870485994,20
0.1,0.339,4.467380654521189,20
0.1,0.342,4.502000166817892,20
0.1,0.34500000000000003,4.536474299820874,20
0.1,0.34800000000000003,4.5708552675005505,20
0.1,0.35100000000000003,4.605184644256239,20
0.1,0.35400000000000004,4.6394955383181395,20
0.1,0.35700000000000004,4.673815233714196,20
0.1,0.36000000000000004,4.708167539492913,20
0.1,0.36300000000000004,4.7425713693960825,20
0.1,0.36600000000000005,4.777045021355231,20
0.1,0.36900000000000005,4.81160112992143,20
0.1,0.37200000000000005,4.846252964606445,20
0.1,0.37500000000000006,4.881013842320019,20
0.1,0.378,4.915890662207162,20
0.1,0.381,4.950896218989841,20
0.1,0.384,4.986038499865567,20
0.1,0.387,5.021330976556053,20
0.1,0.39,5.056776757787406,20
0.1,0.393,5.09238725785385,20
0.1,0.396,5.128166484131045,20
0.1,0.399,5.164114449943628,20
0.1,0.402,5.200235258286562,20
0.1,0.405,5.2365311224984294,20
0.1,0.40800000000000003,5.273003177047037,20
0.1,0.41100000000000003,5.309654280956783,20
0.1,0.41400000000000003,5.346489317326289,20
0.1,0.41700000000000004,5.383508947642964,20
0.1,0.42000000000000004,5.4207181984326755,20
