# Single Parameter Sweep Metadata
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.934
# max_sidebands: 5
# timestamp: 2025-12-17 16:26:18
# disorder_type: from_file
# disorder_region: all_leads
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# calculation: CPR
# sweep_parameter: v_tau
# sweep_values: [0.338, 0.822, 0.882, 0.934, 1.0]
# outer_parallel: 4
v_tau,Phase (rad),Current (nA)
0.338,2.3900000000000006,0.6876367197178366
0.338,2.41,0.6735358675244809
0.338,2.4300000000000006,0.6589536608761443
0.338,2.45,0.6437608948550507
0.338,2.4700000000000006,0.6280799435135781
0.338,2.49,0.6121852839907274
0.338,2.5100000000000007,0.5963008845481579
0.338,2.5300000000000002,0.5804517017588925
0.338,2.5500000000000007,0.5644753612770642
0.338,2.5700000000000003,0.5481500625063614
0.338,2.5900000000000007,0.5313427146195777
0.338,2.6100000000000003,0.5140843134881546
0.338,2.630000000000001,0.4965131596588304
0.338,2.6500000000000004,0.4787845824662177
0.338,2.670000000000001,0.4609798653458712
0.338,2.6900000000000004,0.4430851187986003
0.338,2.710000000000001,0.42502573674294736
0.338,2.7300000000000004,0.4067219623393753
0.338,2.7500000000000004,0.38813788984291914
0.338,2.7700000000000005,0.3692932408394274
0.338,2.7900000000000005,0.350244393926904
0.338,2.8100000000000005,0.3310580993534288
0.338,2.8300000000000005,0.31177464361566665
0.338,2.8500000000000005,0.29242171429729225
0.338,2.8700000000000006,0.2729880539352984
0.338,2.8900000000000006,0.2534604787963033
0.338,2.9100000000000006,0.23381708877973864
0.338,2.9300000000000006,0.21405112989581665
0.338,2.9500000000000006,0.1941575885051745
0.338,2.9700000000000006,0.1741463519972537
0.338,2.9900000000000007,0.15402976492766596
0.338,3.0100000000000007,0.13382366509404733
0.338,3.0300000000000007,0.11354917791401767
0.338,3.0500000000000007,0.09321842274285684
0.338,3.0700000000000007,0.07284684296124833
0.338,3.0900000000000007,0.05244411681334774
0.338,3.1100000000000008,0.032021206239629695
0.338,3.130000000000001,0.011585996065568472
0.338,3.150000000000001,-0.008852583213600775
0.338,3.170000000000001,-0.029287909647961023
0.338,3.1900000000000004,-0.04971220133356689
0.338,3.210000000000001,-0.07011703804966746
0.338,3.2300000000000004,-0.09049130403239271
0.338,3.250000000000001,-0.11082600019780885
0.338,3.270000000000001,-0.1311066300316685
0.338,3.290000000000001,-0.1513188307009423
0.338,3.310000000000001,-0.17144486008010143
0.338,3.330000000000001,-0.19147006017787085
0.338,3.350000000000001,-0.2113754889269707
0.338,3.370000000000001,-0.23115471186402034
0.338,3.3900000000000006,-0.2508083453231742
0.338,3.4100000000000006,-0.2703443676845051
0.338,3.4300000000000006,-0.28978325538649846
0.338,3.4500000000000006,-0.3091411944445335
0.338,3.4700000000000006,-0.3284252830930436
0.338,3.4900000000000007,-0.34762223777459317
0.338,3.5100000000000007,-0.36668871850940365
0.338,3.5300000000000007,-0.38555975219718885
0.338,3.5500000000000007,-0.4041784187310586
0.338,3.5700000000000007,-0.4225170735697171
0.338,3.5900000000000007,-0.44060077246623097
0.338,3.6100000000000008,-0.4585062698287616
0.338,3.630000000000001,-0.47631266112374904
0.338,3.650000000000001,-0.49404686701279366
0.338,3.670000000000001,-0.5116413381833214
0.338,3.690000000000001,-0.5289524029287136
0.338,3.710000000000001,-0.5458275093737349
0.338,3.730000000000001,-0.5622156948565212
0.338,3.750000000000001,-0.578223871784004
0.338,3.770000000000001,-0.5940689669665414
0.338,3.790000000000001,-0.6099361311775154
0.338,3.810000000000001,-0.6258302615518355
0.338,3.830000000000001,-0.6415546627300835
0.338,3.850000000000001,-0.6568306268204215
0.338,3.870000000000001,-0.6714984917370176
0.338,3.890000000000001,-0.6856500839893171
0.338,3.910000000000001,-0.6995520025161638
0.338,3.930000000000001,-0.7134103687371806
0.338,3.950000000000001,-0.7271835050943237
0.338,3.970000000000001,-0.7405928218262295
0.338,3.990000000000001,-0.7533705734256235
0.338,4.010000000000002,-0.7655098136278621
0.338,4.030000000000001,-0.7773047965898722
0.338,4.050000000000001,-0.7890969785325312
0.338,4.070000000000001,-0.8009681726620392
0.338,4.090000000000002,-0.8126363159904839
0.338,4.110000000000001,-0.823698017914614
0.338,4.130000000000001,-0.8339822806964657
0.338,4.150000000000001,-0.8437005192772041
