# Summary of CPR analysis
# Calculation method: separate
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.882
# max_sidebands: 5
# timestamp: 2025-09-08 23:27:00
# disorder_type: from_file
# disorder_region: all_leads
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# B: 0.0
# calculation: CPR
# sweep_parameter: B
# sweep_min: 0.0
# sweep_max: 2.0
# sweep_points: 101
# outer_parallel: 5
B,Ic_max,Ic_min,phi0_max,phi0_min
0.0,20.021343022534847,-20.015027241407783,2.0100000000000002,4.290000000000001
0.02,20.009124104196605,-20.016379865746142,2.0500000000000003,4.270000000000001
0.04,20.01574547990069,-20.00803840902039,1.9900000000000002,4.250000000000001
0.06,20.02247190828599,-20.011087090520718,2.0100000000000002,4.290000000000001
0.08,20.023338013376872,-20.01334906231107,2.0100000000000002,4.290000000000001
0.1,20.01970028815481,-20.006905029101166,2.0100000000000002,4.290000000000001
0.12,20.013151938461057,-20.010751166112836,2.0100000000000002,4.270000000000001
0.14,20.01852622673262,-20.000226931613796,1.9900000000000002,4.250000000000001
0.16,20.012455234817555,-20.005903734469562,2.0100000000000002,4.270000000000001
0.18,20.011868798359608,-20.011423690125834,2.0300000000000002,4.270000000000001
0.2,20.015562278619292,-20.002104068117355,2.0100000000000002,4.290000000000001
0.22,19.99962684447324,-19.997179767506978,1.9900000000000002,4.270000000000001
0.24,20.00082615973103,-19.995439587878305,2.0300000000000002,4.270000000000001
0.26,19.999851520958725,-19.98467850697839,1.9900000000000002,4.270000000000001
0.28,19.9841890263873,-19.98739391061156,2.0100000000000002,4.270000000000001
0.3,19.977936197322034,-19.96852442724975,1.9900000000000002,4.250000000000001
0.32,19.96661888637391,-19.965291228390242,2.0100000000000002,4.290000000000001
0.34,19.95521309618498,-19.95356433355708,2.0100000000000002,4.270000000000001
0.36,19.941363933667276,-19.942347951130248,1.9900000000000002,4.290000000000001
0.38,19.934280420225043,-19.936869338563998,1.9900000000000002,4.290000000000001
