# Calculation Metadata
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.338
# max_sidebands: 5
# timestamp: 2025-09-09 17:46:59
# common_timestamp: 20250909_171115
# disorder_type: none
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# calculation: DC_IV
# duration: 2143.999398469925
# Vbias_points: 300
Bias Voltage (meV),Current (nA),SidebandN
0.003,-8.13223657736095e-09,60
0.011,0.00015464486315079517,42
0.019,7.519353805773638e-05,40
0.027,-2.361532588438128e-05,40
0.029999999999999995,-6.984180411488196e-05,40
0.033,6.269131513529945e-05,22
0.036,4.7276196169511244e-05,22
0.039,3.090664119316263e-05,22
0.042,1.3687401854900142e-05,22
0.045,-1.987598654149803e-06,22
0.048,-2.2009355271613562e-05,22
0.051,-4.634116956927994e-05,22
0.054,-6.257911363043966e-05,22
0.056999999999999995,-8.698073572763335e-05,22
0.06,5.9304158007202544e-05,12
0.063,5.456772473363829e-05,12
0.066,4.3934616247751616e-05,12
0.069,3.932614975636982e-05,12
0.072,3.1175020908811174e-05,12
0.075,2.7920846908145383e-05,12
0.078,1.6900611285744202e-05,12
0.081,1.6360753713934817e-05,12
0.084,-4.3448703760509946e-06,12
0.08700000000000001,-3.5612402333385362e-06,12
0.09,-2.5481177726314933e-05,12
0.093,-3.394476659414631e-05,12
0.096,-4.3292144886547975e-05,12
0.09899999999999999,-5.461279333377627e-05,12
0.102,-5.923754035633102e-05,12
0.105,-5.38593912602104e-05,12
0.108,-8.634376414474302e-05,12
0.111,-7.235559224537847e-05,12
0.11399999999999999,-0.0001101895604290086,12
0.11699999999999999,-0.00011141323318253863,12
0.12,-3.676686760230071e-05,9
0.123,-4.426508199469508e-05,9
0.126,-5.199957096972497e-05,9
0.129,-5.9972574359792557e-05,9
0.132,-6.819160390231097e-05,9
0.13499999999999998,-7.666254358396707e-05,9
0.13799999999999998,-8.538698412722676e-05,9
0.141,-9.43533028517366e-05,9
0.144,-0.00010349897690675223,9
0.147,-0.00011242358480824295,9
0.15,-0.00011707372436297217,9
0.153,-0.00012274822726776385,9
0.156,-0.00013110274021998364,9
0.159,-0.0001411432282608276,9
0.162,-0.0001521259411535094,9
0.165,-0.00016326021101826791,9
0.168,-0.0001744622512873163,9
0.17099999999999999,-0.00018567406089716132,9
0.174,-0.0001968428987043352,9
0.177,-0.00020791015671110544,9
0.18,-0.00021879719736993592,9
0.183,-0.0002293836923088228,9
0.186,-0.00023954006015099912,9
0.189,-0.0002489380136016051,9
0.192,-0.0002567973403415726,9
0.195,-0.00026067287380640314,9
0.198,-0.00024610735938903244,9
0.20099999999999998,-0.0001433532224893446,9
0.204,-0.00015438036151493438,9
0.207,-0.0001648002075173905,9
0.21,6.323953458255443e-05,7
0.213,5.910108397054422e-05,7
0.216,5.551829517108535e-05,7
0.219,5.254172897248484e-05,7
0.222,5.0143527760011594e-05,7
0.22499999999999998,4.8328357947708314e-05,7
0.22799999999999998,4.71209999261131e-05,7
0.23099999999999998,4.656397591338024e-05,7
0.23399999999999999,4.671610799522873e-05,7
0.237,4.76523036921406e-05,7
0.23999999999999996,4.94625781294875e-05,7
0.24299999999999997,5.2259296259633886e-05,7
0.24599999999999997,5.618156800414764e-05,7
0.24899999999999997,6.139842245834672e-05,7
0.252,6.811927186011525e-05,7
0.255,7.660801253213956e-05,7
0.258,8.717483044471167e-05,7
0.261,0.00010022098932794491,7
0.264,0.00011629619092467502,7
0.267,0.00013612238770390337,7
0.27,0.00016068536270078746,7
0.273,0.0001913740342972413,7
0.276,0.00023021856681532116,7
0.27899999999999997,0.00028030742054779845,7
0.282,0.0003465858534751741,7
0.285,0.000437714589818117,7
0.288,0.0005701461046744401,7
0.291,0.0007805510511840941,7
0.294,0.0011706699906716329,7
0.297,0.0021644287187228776,7
0.3,0.006946945513963021,5
0.303,0.008307839043760694,5
0.306,0.008387439817349131,5
0.309,0.008451212253717325,5
0.312,0.008525176961270024,5
0.315,0.008609281353860103,5
0.318,0.008699393833485836,5
0.321,0.00879541910312535,5
0.324,0.008895624017287206,5
0.327,0.009000035951862708,5
0.33,0.009106550493458088,5
0.333,0.009216368449060902,5
0.336,0.00932901266807894,5
0.339,0.009443402829922903,5
0.342,0.009559657989547209,5
0.34500000000000003,0.009677979037191305,5
0.34800000000000003,0.009798402340758468,5
0.35100000000000003,0.009920915087225177,5
0.35400000000000004,0.010045422768270158,5
0.35700000000000004,0.010171562016698926,5
0.36000000000000004,0.010298954160425963,5
0.37200000000000005,0.010830653185311703,5
0.38400000000000006,0.011397429541339519,5
0.3960000000000001,0.012006077077727276,5
0.40800000000000003,0.012658308016042343,5
0.42000000000000004,0.01336262147976221,5
0.43200000000000005,0.014135167866336947,5
0.44400000000000006,0.014979397320524588,5
0.45600000000000007,0.015921225527060868,5
0.46799999999999997,0.01697506739817869,5
0.48,0.018177535226782192,5
0.492,0.019560820448003217,5
0.504,0.02118457536546856,5
0.516,0.02314076119571993,5
0.528,0.025538841962671435,5
0.54,0.02863878916627805,5
0.552,0.03281756835078797,5
0.5640000000000001,0.038991593648663475,5
0.5760000000000001,0.04915025641932366,5
0.588,0.07102927376887318,5
0.6,0.1589160373772627,5
0.612,0.26712138886772196,5
0.624,0.3052163492739349,5
0.636,0.3268709488669199,5
0.648,0.34362761278931425,5
0.66,0.3565059425941187,5
0.672,0.3679741945068987,5
0.684,0.378893383240314,5
0.6960000000000001,0.3891032208911985,5
0.7080000000000001,0.3986235825177167,5
0.7200000000000001,0.4081094615470592,5
0.732,0.418291176966496,5
0.744,0.42656576601353385,5
0.756,0.4349801511636024,5
0.768,0.4439999739235586,5
0.78,0.45256457024720237,5
0.7919999999999999,0.4612785589804613,5
0.8039999999999999,0.46923206593295963,5
0.816,0.4777641738851113,5
0.828,0.48553453951702963,5
0.84,0.493001327319722,5
0.852,0.5006958070565175,5
0.864,0.5087134042090712,5
0.876,0.516806381485499,5
0.888,0.5239729856052111,5
0.8999999999999999,0.5295770524418175,5
